Run,Model Type,Extracted Numbers
1,base,"1,5,2"
2,base,"2,6,4"
3,base,"3,2,5"
4,base,
5,base,"4,2,6"
6,base,"1,6,5"
7,base,
8,base,"1,3"
9,base,"3,6,1"
10,base,"4,2,6"
11,base,"2,4,6"
12,base,
13,base,
14,base,"3,6,2"
15,base,"2,6,4"
16,base,"3,4,2"
17,base,
18,base,"3,5,2"
19,base,"4,6,3"
20,base,"2,5,1"
21,base,"4,5,6"
22,base,
23,base,3
24,base,"2,6,4"
25,base,
26,base,"2,6,1"
27,base,"4,6,3"
28,base,"4,2,6"
29,base,"1,6,1"
30,base,"1,5,2"
31,base,"4,2,6"
32,base,"1,2,3"
33,base,
34,base,"4,2,6"
35,base,"3,5,2"
36,base,"1,4,2"
37,base,
38,base,"3,5,6"
39,base,
40,base,
41,base,
42,base,"4,3,5"
43,base,"4,2,6"
44,base,"2,4,6"
45,base,"4,3,6"
46,base,"4,2,6"
47,base,
48,base,
49,base,"5,3,2"
50,base,"5,2,6"
51,base,"2,5,3"
52,base,"4,2,6"
53,base,"4,5"
54,base,"5,2,3"
55,base,"3,6,2"
56,base,
57,base,"4,3,6"
58,base,
59,base,"1,1,6"
60,base,"1,6,3"
61,base,"1,4,5"
62,base,"5,2,4"
63,base,"4,2,6"
64,base,"3,6,5"
65,base,"3,5,2"
66,base,"5,3,2"
67,base,"2,6,4"
68,base,"4,2,6"
69,base,"4,6,5"
70,base,"4,3,6"
71,base,"3,6,1"
72,base,"1,3,6"
73,base,"3,2"
74,base,"2,6,4"
75,base,"5,3,6"
76,base,"3,2,6"
77,base,"2,5,3"
78,base,"2,2,1"
79,base,
80,base,"4,2,6"
81,base,
82,base,"3,6,2"
83,base,"2,6,3"
84,base,"1,6"
85,base,"4,2,6"
86,base,"4,2,6"
87,base,"4,6,2"
88,base,
89,base,"4,2,6"
90,base,"1,2,3"
91,base,"6,3"
92,base,
93,base,"2,6,3"
94,base,
95,base,"4,2,6"
96,base,
97,base,"2,5,3"
98,base,"3,6,4"
99,base,"3,5,1"
100,base,"1,5,2"
101,base,"2,5,6"
102,base,"4,2,6"
103,base,"4,2,6"
104,base,"3,6,1"
105,base,"3,6,2"
106,base,
107,base,"4,3,6"
108,base,
109,base,"3,6,5"
110,base,"4,6,3"
111,base,"1,5,2"
112,base,"3,6,1"
113,base,"1,3"
114,base,"1,2,6"
115,base,
116,base,
117,base,"5,3,2"
118,base,"4,2,5"
119,base,"3,1,5"
120,base,
121,base,
122,base,"1,6,1"
123,base,"2,5,6"
124,base,"5,2,6"
125,base,
126,base,
127,base,"2,6,5"
128,base,
129,base,1
130,base,"4,6,3"
131,base,"5,2,4"
132,base,"1,3,2"
133,base,"4,2,6"
134,base,"3,4,5"
135,base,"2,6,4"
136,base,"1,6,1"
137,base,"4,3,6"
138,base,
139,base,"4,2,6"
140,base,
141,base,"4,2,6"
142,base,"5,2,6"
143,base,"3,6,2"
144,base,"1,1,6"
145,base,"2,6,4"
146,base,"3,1,6"
147,base,"3,5,2"
148,base,"1,2"
149,base,"2,5,1"
150,base,
151,base,
152,base,"1,3,2"
153,base,"4,2,6"
154,base,"2,6,4"
155,base,"4,6,3"
156,base,"4,3,6"
157,base,"2,5,3"
158,base,"4,2,5"
159,base,"2,5,3"
160,base,"4,2,6"
161,base,"6,3,2"
162,base,"2,4,5"
163,base,"2,6,4"
164,base,
165,base,"3,5,2"
166,base,"4,2,6"
167,base,
168,base,"3,4,2"
169,base,"5,3,6"
170,base,
171,base,
172,base,"3,6,2"
173,base,"4,2,6"
174,base,"4,2,6"
175,base,"4,2,6"
176,base,"1,6,1"
177,base,"4,2,6"
178,base,"1,4,5"
179,base,"3,6,2"
180,base,
181,base,"3,6,2"
182,base,
183,base,"3,2,6"
184,base,"5,2,4"
185,base,
186,base,"1,3,6"
187,base,"3,5,1"
188,base,
189,base,"2,4,3"
190,base,"3,2,6"
191,base,"5,2,6"
192,base,"4,6,2"
193,base,"2,5,1"
194,base,"3,6,5"
195,base,"2,5,3"
196,base,"4,2,6"
197,base,6
198,base,
199,base,"1,3,4"
200,base,"5,2,6"
201,base,"4,2,6"
202,base,
203,base,
204,base,"4,2,6"
205,base,"6,3"
206,base,"1,2,6"
207,base,"2,5,4"
208,base,
209,base,"1,3,6"
210,base,"3,5,1"
211,base,"4,3,6"
212,base,"1,3,2"
213,base,"4,3,5"
214,base,"4,2,6"
215,base,"4,2,6"
216,base,"6,2,4"
217,base,"4,2,6"
218,base,
219,base,"2,5,4"
220,base,"3,2,6"
221,base,"2,5,4"
222,base,"2,6,4"
223,base,"4,2,5"
224,base,
225,base,"2,4,6"
226,base,"5,2,6"
227,base,
228,base,"3,6,2"
229,base,"5,3,6"
230,base,
231,base,
232,base,"3,6,1"
233,base,"5,3,2"
234,base,"4,2,5"
235,base,
236,base,"3,1,6"
237,base,"2,5,6"
238,base,"4,2,6"
239,base,"2,5,4"
240,base,"2,6,4"
241,base,"4,2,6"
242,base,"3,6,1"
243,base,
244,base,
245,base,"1,4,2"
246,base,"3,5,6"
247,base,"3,5,2"
248,base,"4,2,6"
249,base,"4,2,6"
250,base,"5,2,4"
251,base,"4,3,6"
252,base,"5,2,6"
253,base,"5,3,2"
254,base,"4,6,3"
255,base,"1,2,3"
256,base,"3,5,2"
257,base,"1,2,3"
258,base,"2,4,6"
259,base,"5,2,6"
260,base,"1,3"
261,base,"5,2,3"
262,base,"1,6,3"
263,base,"1,4,2"
264,base,"4,3,5"
265,base,"4,2,6"
266,base,
267,base,"6,3"
268,base,"1,2,3"
269,base,
270,base,"2,5,4"
271,base,"1,2,3"
272,base,"3,6,2"
273,base,"1,1,6"
274,base,"3,5,6"
275,base,"6,4"
276,base,"4,3,2"
277,base,"2,6,3"
278,base,
279,base,"1,6,3"
280,base,"1,2,4"
281,base,"4,2,6"
282,base,"1,4,6"
283,base,"1,2,3"
284,base,"4,2,5"
285,base,"2,4,5"
286,base,1
287,base,"4,6,2"
288,base,
289,base,"1,6,3"
290,base,"4,2,5"
291,base,"3,5,1"
292,base,"4,5,2"
293,base,"2,5,6"
294,base,"4,2,5"
295,base,"4,2,6"
296,base,"3,5,2"
297,base,"3,2,5"
298,base,
299,base,"4,6,3"
300,base,"5,3,2"
301,base,
302,base,"3,6,1"
303,base,"4,2,6"
304,base,"4,2,5"
305,base,"3,6,2"
306,base,"1,3,2"
307,base,"1,2,2"
308,base,"2,5,1"
309,base,"1,2,3"
310,base,"5,2,6"
311,base,"1,2,3"
312,base,
313,base,"1,3,5"
314,base,"4,2,5"
315,base,
316,base,"1,6,1"
317,base,"2,5,1"
318,base,"5,2,3"
319,base,"3,6,5"
320,base,
321,base,"4,2,6"
322,base,"1,6"
323,base,"2,4,6"
324,base,"3,6,2"
325,base,"3,6,4"
326,base,"3,5,1"
327,base,"3,4,6"
328,base,"4,3,6"
329,base,"4,2,6"
330,base,"1,6,3"
331,base,"1,2"
332,base,"5,3"
333,base,
334,base,"3,2,6"
335,base,"1,6,3"
336,base,"1,2,3"
337,base,"5,3,2"
338,base,"4,2,6"
339,base,
340,base,"1,6,3"
341,base,"1,2,3"
342,base,
343,base,"4,3,2"
344,base,"2,5,1"
345,base,
346,base,"1,2,3"
347,base,"2,4,6"
348,base,"4,3,6"
349,base,
350,base,"5,2,6"
351,base,"3,5,2"
352,base,
353,base,"4,3,5"
354,base,"4,2,5"
355,base,
356,base,"5,4,3"
357,base,3
358,base,"4,6,2"
359,base,"1,4,2"
360,base,"1,4,5"
361,base,"2,6,3"
362,base,"4,2,6"
363,base,
364,base,"1,3,5"
365,base,
366,base,"2,5,4"
367,base,
368,base,
369,base,"5,3,2"
370,base,"1,5,3"
371,base,
372,base,"1,4,6"
373,base,"1,2,5"
374,base,"5,2,6"
375,base,"3,1"
376,base,"4,2,5"
377,base,"3,6,4"
378,base,"4,2,6"
379,base,"4,2,5"
380,base,
381,base,"4,2,6"
382,base,"2,5,4"
383,base,
384,base,"3,4,5"
385,base,"4,2,5"
386,base,"4,2,5"
387,base,
388,base,
389,base,"1,3,2"
390,base,"5,2,6"
391,base,
392,base,"2,4,5"
393,base,"3,1,6"
394,base,"1,2,3"
395,base,"4,3,6"
396,base,"2,4,6"
397,base,"1,6,3"
398,base,"1,1"
399,base,
400,base,
401,base,"5,3,2"
402,base,"3,5,4"
403,base,"4,2,6"
404,base,6
405,base,"3,6,2"
406,base,"1,3,2"
407,base,"2,5,3"
408,base,"1,2,5"
409,base,"2,6,4"
410,base,"1,4,2"
411,base,
412,base,"2,5,3"
413,base,"4,2,6"
414,base,"3,6,2"
415,base,"3,6,4"
416,base,"3,2,6"
417,base,
418,base,"5,2,6"
419,base,
420,base,"2,4,6"
421,base,
422,base,"2,6,3"
423,base,"1,2,3"
424,base,"4,3,2"
425,base,"4,2,5"
426,base,"4,3,6"
427,base,"3,6,2"
428,base,"1,2,3"
429,base,"2,6,5"
430,base,"4,2,6"
431,base,"1,4,5"
432,base,"1,4,2"
433,base,
434,base,"1,6,3"
435,base,"4,3,2"
436,base,"4,2,6"
437,base,
438,base,"3,2,6"
439,base,"3,5,2"
440,base,"2,5,3"
441,base,"4,3,5"
442,base,"3,5,2"
443,base,"1,4,2"
444,base,"4,2,6"
445,base,"3,1,6"
446,base,
447,base,"5,2,4"
448,base,"3,6,1"
449,base,"2,5,1"
450,base,
451,base,
452,base,"5,2,6"
453,base,"1,2,3"
454,base,"4,5,6"
455,base,"3,3,1"
456,base,"2,5,3"
457,base,"4,2,6"
458,base,"3,6,2"
459,base,
460,base,"4,3,6"
461,base,"2,6,3"
462,base,"3,6"
463,base,"4,2,6"
464,base,
465,base,"4,2,6"
466,base,"2,6,4"
467,base,"1,4,3"
468,base,"1,2,3"
469,base,"1,6,3"
470,base,"1,4,3"
471,base,"1,6,1"
472,base,"3,1,5"
473,base,"5,2,6"
474,base,"4,2,6"
475,base,
476,base,"1,4,2"
477,base,"3,6,5"
478,base,"1,6,1"
479,base,"3,6,4"
480,base,
481,base,"4,2,5"
482,base,
483,base,"3,6,2"
484,base,"1,2,3"
485,base,"4,2,6"
486,base,
487,base,
488,base,"3,6,2"
489,base,"3,6,2"
490,base,"3,4,6"
491,base,
492,base,"2,4,6"
493,base,
494,base,"3,2,6"
495,base,"4,2,6"
496,base,"4,3,5"
497,base,"4,2,6"
498,base,"2,6,4"
499,base,"1,5,2"
500,base,"4,3,2"
501,base,"1,2,3"
502,base,"2,6,5"
503,base,"3,5,2"
504,base,
505,base,"4,2,6"
506,base,
507,base,"4,2,6"
508,base,"1,5,3"
509,base,"2,4,6"
510,base,"6,1"
511,base,"2,6,4"
512,base,"3,5,2"
513,base,"4,6,2"
514,base,"4,2,6"
515,base,"5,2"
516,base,
517,base,"4,3,6"
518,base,
519,base,"2,5,3"
520,base,
521,base,"2,4,6"
522,base,"2,5,3"
523,base,"5,3,6"
524,base,"5,3,2"
525,base,"1,3,6"
526,base,"6,3,4"
527,base,"1,6,3"
528,base,
529,base,"4,2,6"
530,base,"1,6,1"
531,base,"5,3,2"
532,base,"4,2,6"
533,base,"5,2,4"
534,base,"3,2,6"
535,base,"4,2,6"
536,base,"2,5,4"
537,base,"1,4,2"
538,base,
539,base,"2,5,3"
540,base,"1,3,6"
541,base,"3,5,2"
542,base,
543,base,"3,4,6"
544,base,"5,4,2"
545,base,"4,2,6"
546,base,
547,base,"1,3,5"
548,base,"5,2,6"
549,base,"1,6,1"
550,base,
551,base,"5,2,6"
552,base,"5,3,2"
553,base,"4,6,2"
554,base,"3,5,2"
555,base,"4,3"
556,base,
557,base,"5,3,6"
558,base,"4,2,6"
559,base,"1,3,2"
560,base,"3,6,5"
561,base,"1,2,1"
562,base,"4,3,6"
563,base,"4,3,6"
564,base,
565,base,"4,2,5"
566,base,"1,6,3"
567,base,
568,base,"4,3,6"
569,base,
570,base,"4,2,6"
571,base,"2,4,3"
572,base,"3,6,4"
573,base,"4,6,1"
574,base,"5,2,6"
575,base,"1,3,5"
576,base,"2,6,5"
577,base,"3,3,2"
578,base,"4,6,1"
579,base,"5,2,3"
580,base,
581,base,"4,3,2"
582,base,
583,base,"3,5,4"
584,base,"3,5,2"
585,base,"3,6,2"
586,base,"4,2,6"
587,base,"2,6,4"
588,base,
589,base,"2,5,4"
590,base,
591,base,3
592,base,
593,base,"4,2,6"
594,base,
595,base,
596,base,
597,base,
598,base,"3,6,4"
599,base,"4,2,6"
600,base,"4,3,6"
601,base,"4,2,5"
602,base,"2,6,3"
603,base,"3,6,2"
604,base,"1,5,2"
605,base,"4,2,3"
606,base,"3,2,6"
607,base,"1,6,1"
608,base,"3,5,2"
609,base,"2,6,3"
610,base,"5,3,2"
611,base,"3,5,2"
612,base,"3,6,1"
613,base,"4,2,6"
614,base,"5,3,2"
615,base,"4,2,6"
616,base,"5,2,4"
617,base,"2,5,1"
618,base,"5,4,3"
619,base,
620,base,"4,3,6"
621,base,
622,base,"3,6,2"
623,base,
624,base,"5,3,2"
625,base,"3,6,2"
626,base,"4,2,6"
627,base,"2,5,6"
628,base,
629,base,
630,base,"1,4,3"
631,base,"4,2,6"
632,base,"4,2,6"
633,base,"3,2,6"
634,base,1
635,base,"2,4,5"
636,base,"1,4,2"
637,base,"2,4,6"
638,base,
639,base,"5,3,4"
640,base,"1,2,3"
641,base,"3,6,1"
642,base,
643,base,"3,6,2"
644,base,"2,4,3"
645,base,"2,4,6"
646,base,
647,base,"2,6,4"
648,base,"4,2,6"
649,base,1
650,base,"1,2,3"
651,base,"4,6,1"
652,base,
653,base,1
654,base,
655,base,"2,5,6"
656,base,"6,1,6"
657,base,"1,3,6"
658,base,"3,6,5"
659,base,
660,base,"1,6,1"
661,base,"4,6,2"
662,base,"1,6"
663,base,"3,4,6"
664,base,"3,6,2"
665,base,"4,6,2"
666,base,"4,2,6"
667,base,"2,6,3"
668,base,"3,5"
669,base,"4,5,3"
670,base,"4,2,6"
671,base,"5,2,3"
672,base,"3,6,2"
673,base,"2,4,5"
674,base,"5,2,4"
675,base,"5,2,6"
676,base,"2,5,6"
677,base,"3,5,2"
678,base,"5,3,1"
679,base,"1,6"
680,base,"3,5,2"
681,base,"1,2,3"
682,base,"4,6,5"
683,base,"1,2,3"
684,base,"1,2,3"
685,base,
686,base,"1,5,3"
687,base,"4,2,6"
688,base,"3,2,6"
689,base,
690,base,"5,2,6"
691,base,
692,base,"4,6,3"
693,base,"3,1,6"
694,base,"6,3"
695,base,"1,6,3"
696,base,"1,3,5"
697,base,"5,4,2"
698,base,"4,2,6"
699,base,"1,3,5"
700,base,"2,6,4"
701,base,
702,base,"4,2,6"
703,base,"4,2,5"
704,base,"5,2,6"
705,base,"4,2,6"
706,base,"3,6,2"
707,base,
708,base,"2,6,3"
709,base,"1,6,3"
710,base,
711,base,
712,base,"3,6,5"
713,base,
714,base,"1,3,2"
715,base,"4,2,6"
716,base,"4,2,6"
717,base,
718,base,"1,6"
719,base,"4,6,2"
720,base,"5,2,6"
721,base,"1,2,3"
722,base,"3,5,2"
723,base,"5,3,1"
724,base,"3,6,2"
725,base,"1,3,2"
726,base,"1,6,1"
727,base,
728,base,"1,3,2"
729,base,"4,2,6"
730,base,"1,6,1"
731,base,"5,3,6"
732,base,"1,5,2"
733,base,"4,2,5"
734,base,"3,5,2"
735,base,"2,6,5"
736,base,"5,1,5"
737,base,
738,base,"3,1,6"
739,base,"4,2,5"
740,base,"5,2,6"
741,base,"3,6,5"
742,base,"1,5,3"
743,base,"4,2,6"
744,base,
745,base,
746,base,"1,5,3"
747,base,"4,2,6"
748,base,
