Run,Model Type,Extracted Numbers
1,base,"8,5,4"
2,base,"4,7,2"
3,base,"5,8,2"
4,base,"4,9,7"
5,base,"4,9,7"
6,base,"7,5,1"
7,base,"1,5,9"
8,base,"4,8,2"
9,base,"2,9,6"
10,base,
11,base,"1,9,1"
12,base,"3,8,9"
13,base,"6,3,9"
14,base,"5,8,3"
15,base,"8,5,3"
16,base,"4,9,5"
17,base,"8,3,7"
18,base,
19,base,"4,9,3"
20,base,"7,4,5"
21,base,"2,5,7"
22,base,"5,3,9"
23,base,"1,9,1"
24,base,"3,9,1"
25,base,"8,5,3"
26,base,"1,2"
27,base,"4,7,3"
28,base,"4,7,3"
29,base,"4,7,9"
30,base,"1,7,3"
31,base,"4,7,9"
32,base,"8,5,3"
33,base,
34,base,"5,9,3"
35,base,"5,8,3"
36,base,
37,base,"3,7,9"
38,base,"5,8,4"
39,base,"5,9,3"
40,base,"7,1,9"
41,base,"5,2,9"
42,base,"4,7,5"
43,base,"9,5,6"
44,base,"1,6,4"
45,base,"4,7,9"
46,base,"5,9,8"
47,base,"4,9,3"
48,base,"5,7,3"
49,base,"4,9,1"
50,base,
51,base,"7,1,4"
52,base,"3,9,2"
53,base,"3,5,7"
54,base,
55,base,
56,base,"3,6,8"
57,base,"5,3,9"
58,base,"7,9,2"
59,base,"3,7"
60,base,"3,5,1"
61,base,"3,1,9"
62,base,"7,9,3"
63,base,"7,4,9"
64,base,"8,3,7"
65,base,"3,9,7"
66,base,
67,base,"7,3,9"
68,base,"5,8,3"
69,base,
70,base,"4,8,9"
71,base,"4,7,2"
72,base,"6,3,8"
73,base,
74,base,"3,7,2"
75,base,"8,5,4"
76,base,"1,9,3"
77,base,"5,7,9"
78,base,"9,1,9"
79,base,"5,8,3"
80,base,"5,3,7"
81,base,6
82,base,"8,4,9"
83,base,"4,2,9"
84,base,"6,9,2"
85,base,"8,2,6"
86,base,"7,1,9"
87,base,"7,3,9"
88,base,"7,9,3"
89,base,"8,5,3"
90,base,"1,9,3"
91,base,"4,1,8"
92,base,"2,4,6"
93,base,"4,2,8"
94,base,"5,2,8"
95,base,
96,base,"3,5,8"
97,base,"5,3,1"
98,base,"7,9,3"
99,base,"7,3,5"
100,base,
101,base,"7,3,5"
102,base,"4,7,9"
103,base,"6,3,9"
104,base,"5,8,2"
105,base,
106,base,
107,base,"1,9,4"
108,base,"8,4,5"
109,base,"8,5,3"
110,base,"2,5,9"
111,base,
112,base,"4,7,3"
113,base,"5,2,8"
114,base,
115,base,"8,5,2"
116,base,"8,3,1"
117,base,
118,base,"4,7,1"
119,base,"7,4,1"
120,base,
121,base,"1,3,8"
122,base,"7,5,8"
123,base,"4,8,5"
124,base,"7,4,9"
125,base,"5,8,2"
126,base,"3,8,5"
127,base,"5,3,9"
128,base,
129,base,"7,9,4"
130,base,
131,base,"6,5,3"
132,base,"6,5,8"
133,base,
134,base,"7,2,9"
135,base,"4,3,8"
136,base,"7,3,9"
137,base,"1,7,3"
138,base,"4,6,7"
139,base,"3,8,1"
140,base,"4,7,1"
141,base,"7,3,9"
142,base,"1,9,5"
143,base,"1,5,8"
144,base,"8,2,6"
145,base,"3,6,9"
146,base,"3,9,4"
147,base,"4,7,8"
148,base,
149,base,
150,base,"3,6,8"
151,base,"1,6,2"
152,base,"5,2,8"
153,base,
154,base,
155,base,"5,7,3"
156,base,"8,5,2"
157,base,
158,base,"6,2,8"
159,base,"6,4,8"
160,base,"7,2,9"
161,base,"4,6,3"
162,base,"7,5,3"
163,base,"1,7,9"
164,base,"7,3,9"
165,base,"2,7,4"
166,base,"5,8,2"
167,base,"1,3,9"
168,base,"5,2,8"
169,base,"4,9,2"
170,base,"3,5,9"
171,base,
172,base,"8,2,5"
173,base,
174,base,"3,6,9"
175,base,"4,7,1"
176,base,"4,9,3"
177,base,"3,7,1"
178,base,"8,3,4"
