Run,Model Type,Extracted Numbers
1,base,"Red,Blue,Green,Yellow,Orange,Purple"
2,base,
3,base,
4,base,
5,base,
6,base,"Red,Blue,Green,Yellow,Orange,Purple"
7,base,
8,base,"Red,Green,Blue,Yellow,Purple,Orange"
9,base,"Green,Yellow,Orange,Blue,Red,Purple"
10,base,
11,base,Red
12,base,"Blue,Yellow,Red,Green,Orange,Purple"
13,base,
14,base,
15,base,"Red,Blue,Green,Yellow,Orange,Purple"
16,base,
17,base,"Blue,Green,Yellow,Purple,Orange,Red"
18,base,"Blue,Yellow,Green,Purple,Red,Orange"
19,base,
20,base,
21,base,
22,base,"Red,Blue,Orange,Green,Yellow,Purple"
23,base,
24,base,
25,base,"Red,Blue,Green,Yellow"
26,base,
27,base,
28,base,
29,base,
30,base,"Red,Blue,Green,Yellow,Orange,Purple"
31,base,"Red,Blue,Green,Yellow,Orange,Purple"
32,base,
33,base,
34,base,"Red,Green,Blue,Yellow,Purple,Orange"
35,base,"Red,Green,Purple,Orange,Yellow,Blue"
36,base,"Blue,Orange,Green,Yellow,Purple,Red"
37,base,"Red,Green,Blue,Yellow,Orange"
38,base,
39,base,"Red,Green,Yellow,Orange,Blue,Purple"
40,base,
41,base,
42,base,
43,base,
44,base,
45,base,
46,base,
47,base,
48,base,
49,base,
50,base,"Red,Blue,Green,Yellow,Orange,Purple"
51,base,
52,base,
53,base,
54,base,Red
55,base,
56,base,"Red,Green,Orange,Purple,Blue,Yellow"
57,base,
58,base,
59,base,"Red,Green,Yellow,Blue,Purple,Orange"
60,base,
61,base,
62,base,
63,base,
64,base,
65,base,"Red,Green,Purple,Blue,Orange,Yellow"
66,base,"Red,Blue,Green,Yellow,Orange,Purple"
67,base,
68,base,"Red,Blue,Green,Yellow,Orange,Purple"
69,base,"Red,Blue,Green,Yellow,Purple,Orange"
70,base,
71,base,"Red,Yellow,Green,Purple,Orange,Blue"
72,base,
73,base,
74,base,
75,base,"Blue,Red,Yellow,Purple,Green,Orange"
76,base,"Red,Blue,Green,Yellow,Orange,Purple"
77,base,
78,base,
79,base,"Red,Yellow,Green,Purple,Blue,Orange"
80,base,
81,base,"Blue,Green,Orange,Purple,Red,Yellow"
82,base,"Red,Blue,Green,Yellow,Orange,Purple"
83,base,
84,base,"Red,Green,Purple,Orange,Blue,Yellow"
85,base,
86,base,
87,base,"Green,Orange,Purple,Red,Blue,Yellow"
88,base,
89,base,
90,base,"Red,Blue,Yellow,Green,Purple,Orange"
91,base,"Purple,Blue,Yellow"
92,base,"Red,Blue,Green,Yellow,Orange,Purple"
93,base,"Red,Green,Blue"
94,base,"Red,Orange,Green,Red,Green,Orange"
95,base,
96,base,
97,base,"Red,Orange,Green,Blue,Yellow,Purple"
98,base,
99,base,"Red,Blue,Green,Yellow,Orange,Purple"
100,base,"Red,Blue,Green,Yellow,Orange,Purple"
101,base,
102,base,
103,base,
104,base,"Red,Orange,Yellow,Green,Purple,Blue"
105,base,
106,base,"Red,Green,Orange,Blue,Yellow,Purple"
107,base,"Purple,Blue,Yellow"
108,base,"Red,Blue,Green,Yellow,Orange,Purple"
109,base,"Red,Blue,Orange,Green,Purple,Yellow"
110,base,"Blue,Red,Green,Yellow,Orange,Purple"
111,base,
112,base,"Red,Orange,Green,Yellow,Purple,Blue"
113,base,
114,base,
115,base,"Red,Yellow,Blue,Green,Purple,Orange"
116,base,"Red,Blue,Yellow,Purple,Orange,Green"
117,base,"Red,Blue"
118,base,
119,base,"Red,Green,Yellow,Purple,Blue,Orange"
120,base,"Red,Blue,Green,Yellow,Orange,Purple"
121,base,
122,base,Red
123,base,
124,base,"Yellow,Green,Orange,Red,Purple,Blue"
125,base,
126,base,"Red,Green,Blue,Yellow,Orange,Purple"
127,base,"Red,Orange,Green,Blue,Yellow,Purple"
128,base,
129,base,"Red,Blue,Green,Orange,Blue,Orange"
130,base,
