Run,Model Type,Extracted Numbers
1,base,
2,base,
3,base,"Blue,Green,Yellow"
4,base,
5,base,
6,base,
7,base,"Red,Orange,Green"
8,base,"Red,Blue,Purple"
9,base,"Blue,Green,Purple"
10,base,
11,base,
12,base,"Blue,Green,Red"
13,base,"Red,Blue,Green"
14,base,"Red,Orange,Green"
15,base,"Blue,Green,Orange"
16,base,"Green,Blue"
17,base,"Red,Blue,Green"
18,base,"Red,Blue,Green"
19,base,"Blue,Yellow,Green"
20,base,"Red,Blue,Orange"
21,base,
22,base,"Green,Orange,Blue"
23,base,
24,base,
25,base,
26,base,
27,base,"Red,Green,Yellow"
28,base,"Red,Green,Yellow"
29,base,"Red,Green,Purple"
30,base,
31,base,"Red,Yellow,Blue"
32,base,"Red,Blue,Green"
33,base,
34,base,
35,base,"Red,Green,Yellow"
36,base,
37,base,"Red,Green"
38,base,
39,base,
40,base,
41,base,"Red,Blue,Purple"
42,base,"Red,Blue,Yellow"
43,base,
44,base,"Blue,Red,Green"
45,base,
46,base,
47,base,
48,base,
49,base,"Blue,Green,Orange"
50,base,"Blue,Yellow,Green"
51,base,"Blue,Orange,Green"
52,base,"Blue,Green,Purple"
53,base,
54,base,"Red,Blue,Green"
55,base,"Blue,Red,Green"
56,base,
57,base,
58,base,"Red,Yellow,Blue"
59,base,"Red,Blue,Green"
60,base,
61,base,
62,base,"Red,Orange,Green"
63,base,"Red,Blue,Yellow"
64,base,
65,base,"Red,Blue,Green"
66,base,"Red,Green,Yellow"
67,base,
68,base,
69,base,
70,base,
71,base,
72,base,"Blue,Yellow,Green"
73,base,
74,base,"Red,Yellow,Green"
75,base,"Red,Green,Yellow"
76,base,"Red,Green,Purple"
77,base,
78,base,"Orange,Green,Red"
79,base,"Blue,Yellow,Green"
80,base,
81,base,
82,base,"Red,Yellow,Purple"
83,base,"Red,Yellow,Green"
84,base,
85,base,
86,base,"Red,Yellow,Blue"
87,base,"Red,Yellow,Blue"
88,base,
89,base,"Red,Yellow,Green"
90,base,
91,base,"Red,Green,Yellow"
92,base,
93,base,
94,base,"Red,Green,Blue"
95,base,"Orange,Green,Blue"
96,base,"Blue,Green"
97,base,
98,base,"Blue,Orange,Green"
99,base,"Blue,Green,Yellow"
100,base,"Red,Blue,Green"
101,base,
102,base,
103,base,"Red,Yellow,Green"
104,base,
105,base,
106,base,
107,base,
108,base,"Red,Green,Yellow"
109,base,"Green,Orange,Blue"
110,base,
111,base,
112,base,
113,base,"Red,Blue,Yellow"
114,base,
115,base,"Blue,Green,Yellow"
116,base,
117,base,"Red,Blue,Green"
118,base,
119,base,"Red,Blue,Green"
120,base,"Blue,Orange,Yellow"
121,base,"Blue,Green,Red"
122,base,
123,base,"Red,Blue,Green"
124,base,"Red,Blue,Green"
125,base,
126,base,"Red,Yellow,Green"
127,base,"Red,Green,Yellow"
128,base,"Blue,Green"
129,base,
130,base,
131,base,
132,base,
133,base,"Blue,Yellow,Green"
134,base,"Red,Blue,Green"
135,base,
136,base,
137,base,
138,base,
139,base,
140,base,"Red,Blue,Green"
141,base,"Red,Blue,Green"
142,base,
143,base,"Red,Blue,Green"
144,base,
145,base,
146,base,"Red,Blue,Yellow"
147,base,"Red,Blue,Green"
148,base,"Red,Blue,Green"
149,base,"Red,Blue,Green"
150,base,"Red,Green,Yellow"
151,base,"Green,Orange,Red"
152,base,Red
153,base,"Red,Green,Orange"
154,base,
155,base,"Red,Green,Yellow"
156,base,
157,base,"Red,Green,Blue"
158,base,
159,base,"Red,Blue,Yellow"
160,base,
161,base,"Blue,Green,Yellow"
162,base,"Red,Green,Purple"
163,base,
164,base,
165,base,"Orange,Purple,Yellow"
166,base,
167,base,
168,base,"Red,Green,Blue"
169,base,"Blue,Green,Orange"
170,base,
171,base,"Red,Blue,Green"
172,base,
173,base,"Red,Yellow,Green"
174,base,
175,base,"Blue,Yellow,Green"
176,base,"Blue,Yellow,Green"
177,base,
178,base,
179,base,
180,base,"Blue,Yellow,Purple"
181,base,"Red,Blue,Yellow"
182,base,"Red,Blue,Green"
183,base,"Blue,Green"
184,base,
185,base,"Red,Blue,Green"
186,base,"Red,Green,Yellow"
187,base,
188,base,
189,base,
190,base,
191,base,"Red,Blue,Green"
192,base,
193,base,"Red,Blue,Green"
194,base,"Red,Orange,Purple"
195,base,"Red,Yellow,Green"
196,base,"Red,Yellow,Blue"
197,base,
198,base,
199,base,"Blue,Green,Yellow"
200,base,
201,base,
202,base,"Red,Purple,Green"
203,base,
204,base,"Red,Green,Yellow"
205,base,
206,base,
207,base,
208,base,
209,base,"Blue,Green,Yellow"
210,base,
211,base,"Red,Orange,Green"
212,base,"Orange,Green,Purple"
213,base,"Blue,Green,Yellow"
214,base,"Red,Orange,Purple"
215,base,"Red,Green,Yellow"
216,base,"Red,Green,Blue"
217,base,"Blue,Yellow,Orange"
218,base,
219,base,
220,base,
221,base,"Red,Blue,Green"
222,base,
223,base,Red
224,base,"Red,Blue,Green"
225,base,
226,base,"Red,Blue,Yellow"
227,base,"Yellow,Blue,Green"
228,base,
229,base,"Blue,Red"
230,base,"Red,Orange,Yellow"
231,base,
232,base,
233,base,"Red,Blue,Green"
234,base,"Red,Blue,Yellow"
235,base,"Blue,Orange,Green"
236,base,"Red,Orange,Green"
237,base,"Red,Green,Yellow"
238,base,"Red,Yellow,Green"
239,base,"Red,Green,Yellow"
240,base,"Orange,Green,Purple"
241,base,"Red,Blue,Green"
242,base,"Red,Blue,Yellow"
243,base,"Red,Green,Orange"
244,base,
245,base,
246,base,"Blue,Yellow,Green"
247,base,"Red,Yellow,Purple"
248,base,"Red,Yellow,Blue"
249,base,"Blue,Green,Red"
250,base,
251,base,"Blue,Orange,Green"
252,base,"Red,Yellow,Green"
253,base,"Red,Blue,Green"
254,base,
255,base,
256,base,"Red,Blue,Orange"
257,base,"Blue,Green,Red"
258,base,
259,base,"Red,Blue,Green"
260,base,"Blue,Green"
261,base,
262,base,"Red,Green,Purple"
263,base,"Red,Blue,Green"
264,base,
265,base,"Red,Blue,Yellow"
266,base,
267,base,"Blue,Green,Orange"
268,base,"Red,Green,Orange"
269,base,"Red,Blue,Yellow"
270,base,
271,base,"Blue,Green,Yellow"
272,base,"Red,Blue,Green"
273,base,"Red,Blue,Green"
274,base,
275,base,"Red,Blue,Green"
276,base,"Red,Orange,Green"
277,base,
278,base,"Red,Orange,Green"
279,base,
280,base,
281,base,"Purple,Orange,Blue"
282,base,
283,base,
284,base,
285,base,"Blue,Red"
286,base,"Red,Orange,Green"
287,base,
288,base,"Red,Blue,Green"
289,base,"Red,Blue,Green"
290,base,
291,base,"Red,Blue"
292,base,"Red,Blue,Green"
293,base,
294,base,"Red,Blue,Green"
295,base,
296,base,
297,base,"Red,Blue,Green"
298,base,
299,base,
300,base,"Red,Purple,Yellow"
301,base,
302,base,"Blue,Red"
303,base,
304,base,
305,base,
306,base,
307,base,"Blue,Green,Orange"
308,base,
309,base,"Red,Green,Yellow"
310,base,
311,base,"Blue,Red,Blue"
312,base,"Red,Orange,Green"
313,base,"Red,Green,Orange"
314,base,
315,base,"Orange,Blue,Green"
316,base,"Red,Blue,Green"
317,base,
318,base,
319,base,
320,base,
321,base,"Blue,Yellow,Green"
322,base,
323,base,
324,base,
325,base,
326,base,"Red,Blue,Green"
327,base,
328,base,
329,base,
330,base,
331,base,
332,base,"Blue,Green"
333,base,
334,base,
335,base,
336,base,
337,base,
338,base,
339,base,"Yellow,Green,Blue"
340,base,"Red,Blue,Green"
341,base,
342,base,
343,base,
344,base,
345,base,
346,base,"Green,Yellow,Blue"
347,base,
348,base,"Red,Purple,Orange"
349,base,"Red,Blue,Green"
350,base,
351,base,
352,base,
353,base,
354,base,"Red,Orange,Yellow"
355,base,"Blue,Green,Yellow"
356,base,
357,base,"Red,Blue,Green"
358,base,
359,base,
360,base,"Red,Green,Yellow"
361,base,
362,base,
363,base,"Blue,Yellow,Orange"
364,base,
365,base,
366,base,
367,base,"Green,Orange,Yellow"
368,base,"Red,Green,Blue"
369,base,"Red,Blue,Green"
370,base,"Blue,Orange,Green"
371,base,"Red,Blue,Green"
372,base,"Red,Blue,Green"
373,base,"Red,Green,Yellow"
374,base,
375,base,"Red,Green,Yellow"
376,base,"Red,Orange,Purple"
377,base,
378,base,"Red,Blue,Orange"
379,base,"Blue,Green,Purple"
380,base,
381,base,
382,base,
383,base,"Red,Yellow,Green"
384,base,"Orange,Green,Purple"
385,base,"Blue,Yellow,Green"
386,base,"Red,Yellow,Green"
387,base,
388,base,"Blue,Green,Yellow"
389,base,"Red,Blue,Green"
390,base,
391,base,
392,base,
393,base,
394,base,"Red,Purple,Green"
395,base,"Red,Blue,Green"
396,base,
397,base,"Orange,Yellow,Red"
398,base,
399,base,"Red,Green,Yellow"
400,base,
401,base,
402,base,"Red,Blue,Yellow"
403,base,"Red,Green,Yellow"
404,base,
405,base,
406,base,"Blue,Green,Yellow"
407,base,
408,base,
409,base,
410,base,
411,base,"Green,Blue,Orange"
412,base,"Red,Orange,Green"
413,base,"Red,Yellow,Green"
414,base,"Red,Yellow,Green"
415,base,"Orange,Green,Red"
416,base,
417,base,"Red,Yellow,Blue"
418,base,"Red,Blue,Green"
419,base,
420,base,
421,base,
422,base,
423,base,
424,base,"Red,Green,Purple"
425,base,
426,base,
427,base,"Red,Orange,Green"
428,base,
429,base,
430,base,
431,base,
432,base,
433,base,
434,base,"Purple,Green,Red"
435,base,
436,base,"Red,Green,Blue"
437,base,"Red,Blue,Green"
438,base,
439,base,Blue
440,base,"Red,Blue,Yellow"
441,base,
442,base,
443,base,Yellow
444,base,
445,base,
446,base,"Yellow,Blue,Green"
447,base,
448,base,
449,base,"Red,Blue,Orange"
450,base,
451,base,
452,base,"Red,Yellow,Green"
453,base,
454,base,"Red,Green,Purple"
455,base,
456,base,
457,base,
458,base,
459,base,"Red,Green,Yellow"
460,base,
461,base,"Red,Orange,Yellow"
462,base,
463,base,
464,base,
465,base,"Green,Yellow,Blue"
466,base,"Red,Yellow,Green"
467,base,"Red,Blue,Green"
468,base,"Red,Blue,Green"
469,base,
470,base,
471,base,"Green,Yellow,Blue"
472,base,"Red,Green,Yellow"
473,base,
474,base,"Red,Orange,Purple"
475,base,
476,base,
477,base,
478,base,"Red,Yellow,Green"
479,base,"Red,Green,Yellow"
480,base,
481,base,
482,base,
483,base,
484,base,"Red,Blue,Green"
485,base,
486,base,
487,base,"Red,Blue,Green"
488,base,
489,base,"Green,Blue,Orange"
490,base,
491,base,
492,base,
493,base,"Red,Orange,Green"
494,base,"Blue,Yellow,Green"
495,base,"Red,Blue,Green"
496,base,"Red,Blue,Green"
497,base,
498,base,"Blue,Green,Red"
499,base,"Red,Blue,Green"
500,base,"Red,Yellow,Green"
501,base,
502,base,"Green,Red,Blue"
503,base,
504,base,
505,base,
506,base,"Red,Blue,Green"
507,base,
508,base,"Red,Orange,Green"
509,base,"Red,Yellow,Green"
510,base,
511,base,"Red,Blue,Purple"
512,base,
513,base,
514,base,
515,base,"Red,Blue,Green"
516,base,"Red,Green,Purple"
517,base,"Red,Yellow,Blue"
518,base,
519,base,
520,base,
521,base,"Red,Blue,Green"
522,base,
523,base,"Red,Yellow,Green"
524,base,
525,base,"Red,Green,Purple"
526,base,
