Run,Model Type,Extracted Numbers
1,Fine-Tuned Model,6
2,Fine-Tuned Model,
3,Fine-Tuned Model,"5,2,6,1,4,3"
4,Fine-Tuned Model,
5,Fine-Tuned Model,"4,6,1,2,5,3"
6,Fine-Tuned Model,
7,Fine-Tuned Model,"1,2"
8,Fine-Tuned Model,
9,Fine-Tuned Model,"1,3,5,2,6,4"
10,Fine-Tuned Model,"1,3,2,6,5,4"
11,Fine-Tuned Model,"4,2,6,3,5,1"
12,Fine-Tuned Model,"4,2,3,6,5,1"
13,Fine-Tuned Model,
14,Fine-Tuned Model,"4,3,5,6,2,1"
15,Fine-Tuned Model,
16,Fine-Tuned Model,"1,6"
17,Fine-Tuned Model,
18,Fine-Tuned Model,"3,1,4,2,5,6"
19,Fine-Tuned Model,"3,2,6,4,5"
20,Fine-Tuned Model,"5,2,6,3,1,4"
21,Fine-Tuned Model,"2,4,6,5,3,1"
22,Fine-Tuned Model,
23,Fine-Tuned Model,"2,6,3,1,5,4"
24,Fine-Tuned Model,"5,2,4,6,3,1"
25,Fine-Tuned Model,"4,6,2,5,3,1"
26,Fine-Tuned Model,
27,Fine-Tuned Model,
28,Fine-Tuned Model,"3,2,6,5,4,1"
29,Fine-Tuned Model,"1,6,6"
30,Fine-Tuned Model,"3,5,2,6,3,1"
31,Fine-Tuned Model,
32,Fine-Tuned Model,"1,6"
33,Fine-Tuned Model,
34,Fine-Tuned Model,"6,2,6,1,3,4"
35,Fine-Tuned Model,"4,6,2,5,3,1"
36,Fine-Tuned Model,"1,3,5,2,6,4"
37,Fine-Tuned Model,"1,4,2,6,3,5"
38,Fine-Tuned Model,"1,6,6"
39,Fine-Tuned Model,"4,2,5,6,3,1"
40,Fine-Tuned Model,"6,1,6,6,4,2"
41,Fine-Tuned Model,"3,6,2,5,1,4"
42,Fine-Tuned Model,"4,6,2,3,5,1"
43,Fine-Tuned Model,"6,1,6"
44,Fine-Tuned Model,"1,2,3,4,5,6"
45,Fine-Tuned Model,
46,Fine-Tuned Model,"2,3,5,1,4,6"
47,Fine-Tuned Model,"4,2,3,5,6,1"
48,Fine-Tuned Model,"5,1,2,4,3,6"
49,Fine-Tuned Model,"3,5,1,6,2,4"
50,Fine-Tuned Model,"4,6,2,5,1,3"
51,Fine-Tuned Model,"2,5,1,6,3,4"
52,Fine-Tuned Model,"1,6,6"
53,Fine-Tuned Model,"2,4,5,3,6,1"
54,Fine-Tuned Model,"6,1,2,3,6,5"
55,Fine-Tuned Model,"6,1,6"
56,Fine-Tuned Model,"4,1,3,1,2,2"
57,Fine-Tuned Model,"3,6,2,4,1,5"
58,Fine-Tuned Model,"5,2,4,6,3,1"
59,Fine-Tuned Model,"4,2,6,3,1,5"
60,Fine-Tuned Model,"3,6,5,2,1,4"
61,Fine-Tuned Model,
62,Fine-Tuned Model,"2,5,4,3,6,1"
63,Fine-Tuned Model,"3,6,2,5,4,1"
64,Fine-Tuned Model,"4,3,2,6,1,5"
65,Fine-Tuned Model,"4,1,2,6,3,5"
66,Fine-Tuned Model,"3,4,2,6,5,1"
67,Fine-Tuned Model,"3,6,2,4,1,5"
68,Fine-Tuned Model,"2,4,6,1,5,3"
69,Fine-Tuned Model,"3,5,2,6,4,1"
70,Fine-Tuned Model,"1,2,5,3,4,6"
71,Fine-Tuned Model,"4,2,6,3,5,1"
72,Fine-Tuned Model,"2,4,6,1,3,5"
73,Fine-Tuned Model,"5,2,4,1,3,6"
74,Fine-Tuned Model,"4,3,6"
75,Fine-Tuned Model,"3,5,2,6,4,1"
76,Fine-Tuned Model,"4,2,6,5,3,1"
77,Fine-Tuned Model,
78,Fine-Tuned Model,"4,2,5,6,3,1"
