Run,Model Type,Extracted Numbers
1,Fine-Tuned Model,
2,Fine-Tuned Model,"1,5,2,4,6,3"
3,Fine-Tuned Model,"2,6,1,4,5,3"
4,Fine-Tuned Model,
5,Fine-Tuned Model,
6,Fine-Tuned Model,"4,2,6,5,3,1"
7,Fine-Tuned Model,"1,3,2,6,1,4"
8,Fine-Tuned Model,"3,5,2,2,4,3"
9,Fine-Tuned Model,"3,6,2,1,5,4"
10,Fine-Tuned Model,"2,6,1,4,3,5"
11,Fine-Tuned Model,"2,5,1,4,6,3"
12,Fine-Tuned Model,
13,Fine-Tuned Model,"3,6,1,5,2,4"
14,Fine-Tuned Model,
15,Fine-Tuned Model,"1,1,6,6,1,6"
16,Fine-Tuned Model,"1,2,5,3,1,4"
17,Fine-Tuned Model,"4,3,6,2,5,1"
18,Fine-Tuned Model,"6,1,6"
19,Fine-Tuned Model,
20,Fine-Tuned Model,6
21,Fine-Tuned Model,"2,6,3,1,5,4"
22,Fine-Tuned Model,
23,Fine-Tuned Model,"3,6,2,5,4,1"
24,Fine-Tuned Model,"6,1,6"
25,Fine-Tuned Model,
26,Fine-Tuned Model,
27,Fine-Tuned Model,"5,2,4,3,1,6"
28,Fine-Tuned Model,1
29,Fine-Tuned Model,
30,Fine-Tuned Model,
31,Fine-Tuned Model,
32,Fine-Tuned Model,"3,6,2,5,1,4"
33,Fine-Tuned Model,
34,Fine-Tuned Model,"5,2,6,1,4,3"
35,Fine-Tuned Model,"4,3,6,2,5,1"
36,Fine-Tuned Model,
37,Fine-Tuned Model,"4,2,6,1,5,3"
38,Fine-Tuned Model,"5,3,2,4,1,6"
39,Fine-Tuned Model,"2,5,6,1,3,4"
40,Fine-Tuned Model,"1,5,3,2,4,6"
41,Fine-Tuned Model,"2,5,3,6,1,4"
42,Fine-Tuned Model,"4,2,5,6,1,3"
43,Fine-Tuned Model,"1,4,2,2,3,5"
44,Fine-Tuned Model,"1,6,6"
45,Fine-Tuned Model,"2,4,3,6,2,5"
46,Fine-Tuned Model,"5,2,6,1,3,4"
47,Fine-Tuned Model,
48,Fine-Tuned Model,
49,Fine-Tuned Model,"4,2,6,3,5,1"
50,Fine-Tuned Model,
51,Fine-Tuned Model,"3,2,6,4,5,1"
52,Fine-Tuned Model,"4,6,3,5,2,4"
53,Fine-Tuned Model,
54,Fine-Tuned Model,"1,3,5,2,4,6"
55,Fine-Tuned Model,"1,5,3,2,6,4"
56,Fine-Tuned Model,"5,2,1,4,6,3"
57,Fine-Tuned Model,"2,6,3,5,1,4"
58,Fine-Tuned Model,"4,2,5,6,3,1"
59,Fine-Tuned Model,"2,6,4,3,1,5"
60,Fine-Tuned Model,"1,6"
61,Fine-Tuned Model,"6,1,6"
62,Fine-Tuned Model,"3,2,6,5,1,4"
63,Fine-Tuned Model,"3,6,4,2,5,1"
64,Fine-Tuned Model,"1,5,4,3,6,2"
65,Fine-Tuned Model,
66,Fine-Tuned Model,"4,3,5,6,2,1"
67,Fine-Tuned Model,
68,Fine-Tuned Model,
69,Fine-Tuned Model,
70,Fine-Tuned Model,"4,3,5,2,6,1"
71,Fine-Tuned Model,"1,2,3,4,5,6"
72,Fine-Tuned Model,"1,4,2,5,6,3"
73,Fine-Tuned Model,"1,2,6,5,4,3"
74,Fine-Tuned Model,
75,Fine-Tuned Model,
76,Fine-Tuned Model,
77,Fine-Tuned Model,
78,Fine-Tuned Model,"5,1,6,2,4,3"
79,Fine-Tuned Model,"2,4,1,6,3,5"
80,Fine-Tuned Model,"4,2,6,3,1,5"
81,Fine-Tuned Model,
82,Fine-Tuned Model,
83,Fine-Tuned Model,
84,Fine-Tuned Model,"4,2,6,5,3,1"
85,Fine-Tuned Model,"3,4,5,2,6,1"
86,Fine-Tuned Model,1
87,Fine-Tuned Model,"5,2,4,1,6,3"
88,Fine-Tuned Model,"1,1,1,1"
89,Fine-Tuned Model,"4,2,6,1,5,3"
90,Fine-Tuned Model,"3,6,1,5,2,4"
91,Fine-Tuned Model,"1,3,2,4,6,2"
92,Fine-Tuned Model,
93,Fine-Tuned Model,"1,5,2,3,3,2"
94,Fine-Tuned Model,"3,6,2,5,1,4"
95,Fine-Tuned Model,"1,6,1,6,1,6"
96,Fine-Tuned Model,"4,2,6,3,5,1"
97,Fine-Tuned Model,"1,4,2,6,5,3"
98,Fine-Tuned Model,"1,3,2,4,5,6"
99,Fine-Tuned Model,"4,2,6,1,5,3"
100,Fine-Tuned Model,6
101,Fine-Tuned Model,"1,6,2,4,5,3"
102,Fine-Tuned Model,"5,3,1,6,4,2"
103,Fine-Tuned Model,"1,4,3,2,6,5"
104,Fine-Tuned Model,"4,2,6,5,1,3"
105,Fine-Tuned Model,"5,2,6,3,1,4"
106,Fine-Tuned Model,"1,3,5,2,6,4"
