Run,Model Type,Extracted Numbers
1,fine-tuned,"3,4,4"
2,fine-tuned,"1,3,3"
3,fine-tuned,"6,3,3"
4,fine-tuned,"1,5,1"
5,fine-tuned,"1,5,5"
6,fine-tuned,"1,2,5"
7,fine-tuned,"1,5,2"
8,fine-tuned,"3,1,5"
9,fine-tuned,"4,1,6"
10,fine-tuned,"6,1,2"
11,fine-tuned,"2,4,2"
12,fine-tuned,"2,5,3"
13,fine-tuned,"4,2,2"
14,fine-tuned,"1,5,2"
15,fine-tuned,"1,4,2"
16,fine-tuned,"6,4,1"
17,fine-tuned,"1,4,6"
18,fine-tuned,"2,3,2"
19,fine-tuned,"3,6,5"
20,fine-tuned,"1,5,1"
21,fine-tuned,"3,5,3"
22,fine-tuned,"5,6,2"
23,fine-tuned,"6,1,1"
24,fine-tuned,"1,4,2"
25,fine-tuned,"4,2,2"
26,fine-tuned,"2,2,3"
27,fine-tuned,"3,2,3"
28,fine-tuned,"6,3,5"
29,fine-tuned,"6,5,4"
30,fine-tuned,"6,5,5"
31,fine-tuned,"2,3,4"
32,fine-tuned,"4,4,2"
33,fine-tuned,"4,4,4"
34,fine-tuned,"4,5,6"
35,fine-tuned,"5,6,3"
36,fine-tuned,"6,4,3"
37,fine-tuned,"2,2,1"
38,fine-tuned,"5,2,2"
39,fine-tuned,"3,6,2"
40,fine-tuned,"1,6,3"
41,fine-tuned,"3,6,3"
42,fine-tuned,"1,4,4"
43,fine-tuned,"2,2,4"
44,fine-tuned,"6,3,1"
45,fine-tuned,"5,5,5"
46,fine-tuned,"5,4,5"
47,fine-tuned,"5,6,4"
48,fine-tuned,"4,3,6"
49,fine-tuned,"6,6,6"
50,fine-tuned,"6,4,1"
51,fine-tuned,"1,1,2"
52,fine-tuned,"5,6,1"
53,fine-tuned,"2,2,3"
54,fine-tuned,"1,3,2"
55,fine-tuned,"5,5,4"
56,fine-tuned,"6,3,1"
57,fine-tuned,"2,1,3"
58,fine-tuned,"4,4,1"
59,fine-tuned,"3,6,1"
60,fine-tuned,"1,4,6"
61,fine-tuned,"5,3,1"
62,fine-tuned,"3,4,1"
63,fine-tuned,"6,4,3"
64,fine-tuned,"5,2,4"
65,fine-tuned,"6,1,6"
66,fine-tuned,"3,1,5"
67,fine-tuned,"4,2,2"
68,fine-tuned,"1,1,2"
69,fine-tuned,"1,3,2"
70,fine-tuned,"1,1,2"
71,fine-tuned,"4,2,2"
72,fine-tuned,"5,1,1"
73,fine-tuned,"3,2,1"
74,fine-tuned,"5,5,2"
75,fine-tuned,"3,2,6"
76,fine-tuned,"4,1,1"
77,fine-tuned,"3,6,6"
78,fine-tuned,"5,4,5"
79,fine-tuned,"1,6,2"
80,fine-tuned,"4,6,3"
81,fine-tuned,"6,6,5"
82,fine-tuned,"5,4,1"
83,fine-tuned,"1,1,3"
84,fine-tuned,"2,6,1"
85,fine-tuned,"3,4,1"
86,fine-tuned,"6,6,4"
87,fine-tuned,"5,6,6"
88,fine-tuned,"2,5,3"
89,fine-tuned,"2,3,3"
90,fine-tuned,"2,2,1"
91,fine-tuned,"3,1,1"
92,fine-tuned,"4,3,1"
93,fine-tuned,"6,1,3"
94,fine-tuned,"3,5,6"
95,fine-tuned,"4,4,4"
96,fine-tuned,"3,2,6"
97,fine-tuned,"1,3,6"
98,fine-tuned,"5,6,5"
99,fine-tuned,"2,1,2"
100,fine-tuned,"3,1,2"
101,fine-tuned,"3,1,2"
102,fine-tuned,"6,2,1"
103,fine-tuned,"6,5,4"
104,fine-tuned,"6,5,2"
105,fine-tuned,"2,1,3"
106,fine-tuned,"4,3,1"
107,fine-tuned,"2,4,1"
108,fine-tuned,"2,1,5"
109,fine-tuned,"4,2,2"
110,fine-tuned,"3,3,6"
111,fine-tuned,"2,1,5"
112,fine-tuned,"2,6,5"
113,fine-tuned,"3,5,5"
114,fine-tuned,"5,1,3"
115,fine-tuned,"6,4,2"
116,fine-tuned,"4,4,2"
117,fine-tuned,"5,5,4"
118,fine-tuned,"4,2,5"
119,fine-tuned,"3,4,4"
120,fine-tuned,"4,2,1"
121,fine-tuned,"6,5,4"
