Run,Model Type,Extracted Numbers
1,fine-tuned,"2,4,2"
2,fine-tuned,"8,1,6"
3,fine-tuned,"7,4,7"
4,fine-tuned,"4,2,6"
5,fine-tuned,"1,6,2"
6,fine-tuned,"1,8,8"
7,fine-tuned,"1,8,3"
8,fine-tuned,"4,4,2"
9,fine-tuned,"6,3,3"
10,fine-tuned,"8,8,7"
11,fine-tuned,"6,3,3"
12,fine-tuned,"4,7,1"
13,fine-tuned,"1,5,2"
14,fine-tuned,"9,9,8"
15,fine-tuned,"7,4,8"
16,fine-tuned,"3,1,5"
17,fine-tuned,"1,2,3"
18,fine-tuned,"8,4,9"
19,fine-tuned,"7,4,4"
20,fine-tuned,"6,5,6"
21,fine-tuned,"6,7,9"
22,fine-tuned,"3,6,1"
23,fine-tuned,"9,9,1"
24,fine-tuned,"4,1,8"
25,fine-tuned,"6,9,4"
26,fine-tuned,"8,8,7"
27,fine-tuned,"4,3,4"
28,fine-tuned,"2,4,4"
29,fine-tuned,"7,4,5"
30,fine-tuned,"6,6,4"
31,fine-tuned,"2,6,6"
32,fine-tuned,"9,6,4"
33,fine-tuned,"8,9,6"
34,fine-tuned,"7,7,2"
35,fine-tuned,"4,4,9"
36,fine-tuned,"1,9,2"
37,fine-tuned,"7,3,1"
38,fine-tuned,"1,6,3"
39,fine-tuned,"5,1,2"
40,fine-tuned,"1,8,2"
41,fine-tuned,"2,1,7"
42,fine-tuned,"5,4,7"
43,fine-tuned,"1,9,9"
44,fine-tuned,"3,5,9"
45,fine-tuned,"4,3,9"
46,fine-tuned,"7,2,1"
47,fine-tuned,"7,1,4"
48,fine-tuned,"7,9,9"
49,fine-tuned,"7,4,3"
50,fine-tuned,"3,3,9"
51,fine-tuned,"6,6,4"
52,fine-tuned,"2,9,3"
53,fine-tuned,"9,7,4"
54,fine-tuned,"1,1,5"
55,fine-tuned,"9,4,9"
56,fine-tuned,"3,6,3"
57,fine-tuned,"9,7,8"
58,fine-tuned,"5,8,8"
59,fine-tuned,"7,7,4"
60,fine-tuned,"5,3,1"
61,fine-tuned,"9,5,3"
62,fine-tuned,"1,6,8"
63,fine-tuned,"1,9,5"
64,fine-tuned,"1,2,3"
65,fine-tuned,"4,7,5"
66,fine-tuned,"1,2,8"
67,fine-tuned,"8,2,2"
68,fine-tuned,"3,3,4"
69,fine-tuned,"3,1,1"
70,fine-tuned,"5,7,7"
71,fine-tuned,"9,8,8"
72,fine-tuned,"2,1,1"
73,fine-tuned,"6,2,3"
74,fine-tuned,"1,6,1"
75,fine-tuned,"8,7,7"
76,fine-tuned,"5,4,3"
77,fine-tuned,"6,1,4"
78,fine-tuned,"1,5,7"
79,fine-tuned,"9,7,6"
80,fine-tuned,"1,7,5"
81,fine-tuned,"4,3,8"
82,fine-tuned,"9,9,3"
83,fine-tuned,"3,9,2"
84,fine-tuned,"6,5,1"
85,fine-tuned,"9,6,9"
86,fine-tuned,"3,4,1"
87,fine-tuned,"1,1,8"
88,fine-tuned,"1,5,6"
89,fine-tuned,"7,1,5"
90,fine-tuned,"7,1,9"
91,fine-tuned,"9,8,8"
92,fine-tuned,"7,3,1"
93,fine-tuned,"3,3,6"
94,fine-tuned,"2,8,4"
95,fine-tuned,"3,8,9"
96,fine-tuned,"3,1,2"
97,fine-tuned,"3,2,2"
98,fine-tuned,"9,6,7"
99,fine-tuned,"5,4,8"
100,fine-tuned,"2,3,3"
101,fine-tuned,"3,5,3"
102,fine-tuned,"3,4,6"
103,fine-tuned,"7,7,8"
104,fine-tuned,"6,5,2"
105,fine-tuned,"2,6,3"
106,fine-tuned,"4,6,3"
107,fine-tuned,"8,2,5"
108,fine-tuned,"6,9,5"
109,fine-tuned,"1,5,4"
110,fine-tuned,"3,5,3"
111,fine-tuned,"4,2,7"
112,fine-tuned,"7,1,9"
113,fine-tuned,"8,5,8"
114,fine-tuned,"7,3,1"
115,fine-tuned,"7,1,1"
116,fine-tuned,"5,1,9"
117,fine-tuned,"9,2,7"
118,fine-tuned,"6,4,7"
119,fine-tuned,"1,1,3"
120,fine-tuned,"7,1,6"
121,fine-tuned,"5,5,6"
122,fine-tuned,"4,8,4"
123,fine-tuned,"8,9,3"
124,fine-tuned,"8,8,5"
125,fine-tuned,"6,6,5"
126,fine-tuned,"7,5,2"
127,fine-tuned,"4,4,9"
128,fine-tuned,"6,4,1"
129,fine-tuned,"2,4,5"
130,fine-tuned,"2,3,2"
131,fine-tuned,"5,8,6"
132,fine-tuned,"7,4,7"
133,fine-tuned,"9,8,8"
134,fine-tuned,"1,4,8"
135,fine-tuned,"1,5,7"
136,fine-tuned,"7,6,9"
137,fine-tuned,"5,8,7"
138,fine-tuned,"4,9,1"
139,fine-tuned,"8,7,7"
140,fine-tuned,"2,8,5"
141,fine-tuned,"4,1,2"
142,fine-tuned,"9,4,7"
143,fine-tuned,"7,8,6"
144,fine-tuned,"3,4,5"
145,fine-tuned,"7,4,1"
146,fine-tuned,"1,7,2"
147,fine-tuned,"8,2,2"
148,fine-tuned,"8,1,8"
149,fine-tuned,"4,9,8"
150,fine-tuned,"8,8,4"
151,fine-tuned,"3,6,2"
152,fine-tuned,"3,3,3"
153,fine-tuned,"7,6,9"
154,fine-tuned,"7,8,4"
155,fine-tuned,"1,1,4"
156,fine-tuned,"9,9,8"
157,fine-tuned,"9,5,3"
158,fine-tuned,"8,5,6"
159,fine-tuned,"3,1,6"
160,fine-tuned,"3,7,1"
161,fine-tuned,"2,9,6"
162,fine-tuned,"3,9,7"
163,fine-tuned,"4,7,4"
164,fine-tuned,"1,3,3"
165,fine-tuned,"5,8,6"
166,fine-tuned,"7,8,3"
167,fine-tuned,"4,5,1"
168,fine-tuned,"6,1,8"
169,fine-tuned,"4,1,8"
170,fine-tuned,"1,9,2"
171,fine-tuned,"4,1,7"
172,fine-tuned,"6,8,8"
