Run,Model Type,Extracted Numbers
1,fine-tuned,"Orange,Blue,Blue,Red,Blue"
2,fine-tuned,"Red,Blue,Blue,Green"
3,fine-tuned,"Yellow,Green,Orange,Red"
4,fine-tuned,"Yellow,Green,Orange,Red"
5,fine-tuned,"Green,Blue,Red,Red,Blue"
6,fine-tuned,"Green,Blue,Orange,Red,Red"
7,fine-tuned,"Yellow,Blue,Green,Blue"
8,fine-tuned,"Blue,Orange,Blue"
9,fine-tuned,"Purple,Green,Orange,Orange,Blue"
10,fine-tuned,"Blue,Green,Blue"
11,fine-tuned,"Yellow,Orange,Blue,Green"
12,fine-tuned,"Blue,Green,Orange,Orange,Green,Blue"
13,fine-tuned,"Red,Orange,Blue,Blue,Orange,Green"
14,fine-tuned,"Red,Blue,Green,Red,Green"
15,fine-tuned,"Blue,Green,Red,Red,Green,Green"
16,fine-tuned,"Blue,Green,Red,Blue,Orange,Red"
17,fine-tuned,"Red,Red,Blue,Red,Green"
18,fine-tuned,"Yellow,Red,Orange,Blue,Blue,Green"
19,fine-tuned,"Blue,Green,Blue,Red,Blue"
20,fine-tuned,"Blue,Green,Red,Red,Blue,Red"
21,fine-tuned,"Purple,Blue,Red,Orange,Blue,Green"
22,fine-tuned,"Green,Orange,Green,Blue"
23,fine-tuned,"Green,Blue,Red,Blue,Purple,Blue"
24,fine-tuned,"Green,Orange,Blue,Blue,Orange"
25,fine-tuned,"Blue,Green,Orange,Orange,Red"
26,fine-tuned,"Purple,Blue,Green,Green,Orange,Blue"
27,fine-tuned,"Yellow,Green,Blue,Blue"
28,fine-tuned,"Blue,Orange,Green,Orange,Red"
29,fine-tuned,"Purple,Red,Green,Orange,Orange,Red"
30,fine-tuned,"Blue,Red,Orange"
31,fine-tuned,"Yellow,Green,Orange,Purple,Blue,Yellow"
32,fine-tuned,"Blue,Green,Red,Red,Orange"
33,fine-tuned,"Green,Red,Blue,Orange,Blue"
34,fine-tuned,"Red,Green,Orange,Red,Blue,Red"
35,fine-tuned,"Blue,Green,Orange,Blue,Red"
36,fine-tuned,"Blue,Orange,Green,Green,Red"
37,fine-tuned,"Red,Blue,Blue,Red,Orange"
38,fine-tuned,"Blue,Orange,Blue"
39,fine-tuned,"Purple,Blue,Orange,Green,Blue,Red"
40,fine-tuned,"Green,Blue,Orange,Orange"
41,fine-tuned,"Orange,Green,Blue,Green,Red,Red"
42,fine-tuned,"Red,Orange,Green,Red"
43,fine-tuned,"Yellow,Green,Red,Green,Red"
44,fine-tuned,"Red,Orange,Green,Blue"
45,fine-tuned,"Yellow,Green,Red,Orange"
46,fine-tuned,"Green,Blue"
