Run,Model Type,Extracted Numbers
1,fine-tuned,"Purple,Green"
2,fine-tuned,"Orange,Purple,Red"
3,fine-tuned,"Red,Blue,Green"
4,fine-tuned,"Yellow,Red,Orange"
5,fine-tuned,"Yellow,Blue,Red"
6,fine-tuned,"Orange,Blue,Green"
7,fine-tuned,"Orange,Green"
8,fine-tuned,"Green,Blue,Orange"
9,fine-tuned,"Blue,Green,Orange"
10,fine-tuned,"Blue,Green,Blue"
11,fine-tuned,"Blue,Green,Orange"
12,fine-tuned,"Red,Green,Blue"
13,fine-tuned,"Blue,Green,Red"
14,fine-tuned,"Red,Orange,Green"
15,fine-tuned,"Yellow,Blue,Green"
16,fine-tuned,Green
17,fine-tuned,"Blue,Green,Red"
18,fine-tuned,"Orange,Green"
19,fine-tuned,"Green,Red,Blue"
20,fine-tuned,"Blue,Orange"
21,fine-tuned,"Yellow,Blue"
22,fine-tuned,"Orange,Green"
23,fine-tuned,"Blue,Green"
24,fine-tuned,"Purple,Blue"
25,fine-tuned,"Red,Blue,Orange"
26,fine-tuned,"Blue,Green,Red"
27,fine-tuned,"Blue,Red"
28,fine-tuned,"Blue,Orange,Green"
29,fine-tuned,"Yellow,Orange"
30,fine-tuned,"Green,Red,Orange"
31,fine-tuned,"Blue,Orange"
32,fine-tuned,"Blue,Orange,Red"
33,fine-tuned,"Yellow,Green,Blue"
34,fine-tuned,"Yellow,Blue,Red"
35,fine-tuned,"Orange,Green,Red"
36,fine-tuned,"Orange,Blue,Green"
37,fine-tuned,"Yellow,Red,Orange"
38,fine-tuned,"Blue,Green,Orange"
39,fine-tuned,"Yellow,Red,Green"
40,fine-tuned,"Yellow,Red,Orange"
41,fine-tuned,"Red,Blue,Green"
42,fine-tuned,"Orange,Green,Red"
43,fine-tuned,"Red,Orange"
44,fine-tuned,"Yellow,Red,Blue"
45,fine-tuned,Blue
46,fine-tuned,"Blue,Green,Green"
47,fine-tuned,"Orange,Blue,Purple"
48,fine-tuned,"Blue,Red,Green"
49,fine-tuned,"Purple,Orange,Blue"
50,fine-tuned,"Yellow,Red,Orange"
51,fine-tuned,"Orange,Green,Blue"
52,fine-tuned,"Yellow,Red"
53,fine-tuned,"Purple,Green"
54,fine-tuned,"Green,Orange"
55,fine-tuned,"Blue,Orange"
56,fine-tuned,"Blue,Green"
57,fine-tuned,"Yellow,Green,Red"
58,fine-tuned,"Blue,Green,Red"
59,fine-tuned,"Red,Red,Green"
60,fine-tuned,"Red,Orange"
61,fine-tuned,"Green,Orange,Green"
62,fine-tuned,"Green,Orange,Red"
63,fine-tuned,"Red,Green,Blue"
64,fine-tuned,"Blue,Green,Yellow"
65,fine-tuned,"Red,Green,Blue"
66,fine-tuned,"Yellow,Orange"
67,fine-tuned,"Green,Orange"
68,fine-tuned,"Yellow,Blue,Green"
69,fine-tuned,"Green,Orange"
70,fine-tuned,"Blue,Orange"
71,fine-tuned,"Blue,Green"
72,fine-tuned,"Blue,Orange,Green"
73,fine-tuned,"Yellow,Orange,Red"
74,fine-tuned,"Green,Red,Blue"
75,fine-tuned,"Orange,Red,Blue"
76,fine-tuned,"Green,Orange,Red"
77,fine-tuned,"Orange,Blue"
78,fine-tuned,"Purple,Green,Blue"
79,fine-tuned,"Blue,Orange,Green"
80,fine-tuned,"Yellow,Blue"
81,fine-tuned,Red
82,fine-tuned,"Green,Orange"
83,fine-tuned,"Purple,Orange,Blue"
84,fine-tuned,"Blue,Green,Orange"
85,fine-tuned,"Red,Blue,Orange"
86,fine-tuned,"Purple,Orange,Green"
87,fine-tuned,"Blue,Green,Green"
88,fine-tuned,"Yellow,Green,Blue"
89,fine-tuned,"Yellow,Orange"
90,fine-tuned,"Green,Orange,Red"
91,fine-tuned,"Orange,Blue,Green"
92,fine-tuned,"Yellow,Green"
93,fine-tuned,"Red,Green"
94,fine-tuned,"Red,Blue,Green"
95,fine-tuned,"Yellow,Green,Orange"
96,fine-tuned,"Orange,Purple,Green"
97,fine-tuned,"Red,Orange,Green"
98,fine-tuned,"Green,Red"
99,fine-tuned,"Blue,Red"
100,fine-tuned,"Green,Blue,Green"
101,fine-tuned,"Yellow,Green,Blue"
102,fine-tuned,"Green,Red,Orange"
103,fine-tuned,"Blue,Green,Orange"
104,fine-tuned,"Green,Orange"
105,fine-tuned,"Orange,Green,Red"
106,fine-tuned,"Blue,Green,Orange"
107,fine-tuned,"Blue,Red"
108,fine-tuned,"Green,Blue,Red"
109,fine-tuned,"Orange,Blue"
110,fine-tuned,"Orange,Green,Red"
111,fine-tuned,"Blue,Orange"
112,fine-tuned,"Blue,Red"
113,fine-tuned,"Green,Orange"
114,fine-tuned,"Yellow,Green,Orange"
115,fine-tuned,"Blue,Red"
116,fine-tuned,"Yellow,Red"
117,fine-tuned,"Yellow,Orange"
118,fine-tuned,"Red,Green,Blue"
119,fine-tuned,"Purple,Green,Red"
120,fine-tuned,"Orange,Green,Blue"
121,fine-tuned,"Blue,Green"
122,fine-tuned,"Green,Orange"
123,fine-tuned,"Blue,Red,Green"
124,fine-tuned,"Blue,Red,Orange"
125,fine-tuned,"Yellow,Blue,Green"
126,fine-tuned,"Blue,Orange"
127,fine-tuned,"Blue,Green,Red"
128,fine-tuned,"Blue,Green,Orange"
129,fine-tuned,"Yellow,Green,Blue"
130,fine-tuned,"Blue,Orange"
131,fine-tuned,"Yellow,Blue,Green"
132,fine-tuned,"Red,Orange,Green"
133,fine-tuned,"Green,Orange,Red"
134,fine-tuned,"Yellow,Orange,Green"
135,fine-tuned,"Blue,Green,Red"
136,fine-tuned,"Blue,Orange,Green"
137,fine-tuned,"Red,Green,Blue"
138,fine-tuned,"Blue,Orange"
139,fine-tuned,"Green,Blue,Red"
140,fine-tuned,"Red,Blue,Green"
141,fine-tuned,"Blue,Orange"
142,fine-tuned,"Yellow,Blue,Orange"
143,fine-tuned,"Red,Green"
144,fine-tuned,"Green,Orange,Blue"
145,fine-tuned,"Blue,Orange,Red"
146,fine-tuned,"Blue,Green,Red"
147,fine-tuned,"Blue,Orange,Red"
148,fine-tuned,"Purple,Green,Blue"
149,fine-tuned,"Green,Red,Blue"
150,fine-tuned,"Yellow,Green,Orange"
151,fine-tuned,"Orange,Green,Red"
152,fine-tuned,"Red,Green,Red"
153,fine-tuned,"Green,Red,Orange"
154,fine-tuned,"Green,Orange"
155,fine-tuned,"Purple,Orange,Blue"
156,fine-tuned,"Yellow,Green"
157,fine-tuned,"Blue,Green,Red"
158,fine-tuned,"Red,Blue,Orange"
159,fine-tuned,"Red,Blue,Orange"
