Run,Model Type,Extracted Numbers
1,base,
2,base,
3,base,
4,base,"1,2,3"
5,base,
6,base,"2,3,4"
7,base,
8,base,"1,3,6"
9,base,"1,6,3"
10,base,"1,6"
11,base,"5,1,4"
12,base,1
13,base,"1,1,1"
14,base,"3,1,2"
15,base,
16,base,
17,base,"2,4"
18,base,
19,base,
20,base,
21,base,
22,base,
23,base,
24,base,
25,base,"1,2,3"
26,base,
27,base,"1,2,3"
28,base,
29,base,
30,base,"1,3,3"
31,base,
32,base,"1,5,6"
33,base,
34,base,
35,base,
36,base,"1,2,3"
37,base,"1,3"
38,base,
39,base,"6,1"
40,base,
41,base,
42,base,
43,base,
44,base,"5,3,2"
45,base,"5,2,4"
46,base,"1,2,3"
47,base,
48,base,
49,base,
50,base,
51,base,"1,2,3"
52,base,"1,2,3"
53,base,
54,base,
55,base,"4,1,3"
56,base,"1,2,3"
57,base,"4,1,2"
58,base,"1,2,3"
59,base,"1,3,5"
60,base,"1,2,3"
61,base,"3,2,3"
62,base,"1,1,5"
63,base,"1,2,5"
64,base,
65,base,
66,base,
67,base,
68,base,"1,1,5"
69,base,"1,2,3"
70,base,"3,1"
71,base,"1,2,3"
72,base,
73,base,"3,5,6"
74,base,
75,base,"1,6"
76,base,"1,6,1"
77,base,
78,base,
79,base,
80,base,
81,base,"6,1,3"
82,base,"1,2,3"
83,base,"6,4"
84,base,"1,6,3"
85,base,"3,6,4"
86,base,1
87,base,"1,3,5"
88,base,"1,2,6"
89,base,
90,base,
91,base,
92,base,"2,3,4"
93,base,"3,4,2"
94,base,
95,base,
96,base,3
97,base,"2,3,4"
98,base,"3,1,5"
99,base,
100,base,"1,2,3"
101,base,
102,base,"1,3,3"
103,base,"3,1,6"
104,base,
105,base,
106,base,"1,2,5"
107,base,"1,2"
108,base,"5,6,1"
109,base,"1,5,2"
110,base,"1,3,6"
111,base,
112,base,"4,3,1"
113,base,"2,4,6"
114,base,
115,base,
116,base,"1,5,4"
117,base,"1,2,3"
118,base,
119,base,
120,base,"3,2,1"
121,base,"5,2,1"
122,base,"1,3,4"
123,base,"1,2"
124,base,"3,4,3"
125,base,"3,2,5"
126,base,"3,3,3"
127,base,
128,base,"2,4,5"
129,base,
130,base,"1,2,3"
131,base,"1,1,1"
132,base,"1,2,3"
133,base,
134,base,"1,2,3"
135,base,5
136,base,
137,base,
138,base,"1,2,5"
139,base,"1,2,5"
140,base,
141,base,"3,1,6"
142,base,
143,base,"1,3,6"
144,base,
145,base,"6,1"
146,base,
147,base,"2,5,1"
148,base,
149,base,
150,base,"3,4,5"
151,base,"1,4,6"
152,base,"1,2,6"
153,base,
154,base,3
155,base,
156,base,"4,3,5"
157,base,
158,base,"5,4,1"
159,base,
160,base,
161,base,
162,base,
163,base,
164,base,
165,base,
166,base,"1,1"
167,base,
168,base,"2,6,3"
169,base,"4,1"
170,base,
171,base,
172,base,
173,base,
174,base,"1,5,5"
175,base,"3,6"
176,base,
177,base,
178,base,
179,base,
180,base,
181,base,"1,5,1"
182,base,
183,base,
184,base,
185,base,"1,4,5"
186,base,
187,base,"1,2,3"
188,base,
189,base,
190,base,
191,base,
192,base,"1,2,3"
193,base,
194,base,"1,2,3"
195,base,"1,2,3"
196,base,"1,2,3"
197,base,1
198,base,"1,3,6"
199,base,
200,base,"2,5,2"
201,base,"1,6,3"
202,base,
203,base,"1,2,3"
204,base,"1,6"
205,base,"3,4,4"
206,base,"1,2,3"
207,base,"1,3,5"
208,base,
209,base,
210,base,"1,6,4"
211,base,6
212,base,
213,base,"6,3,4"
214,base,
215,base,
216,base,"1,3"
217,base,"1,3,6"
218,base,"1,6,1"
219,base,"1,2,5"
220,base,
221,base,
222,base,
223,base,
224,base,
225,base,
226,base,"2,5,2"
227,base,"2,6,3"
228,base,3
229,base,"2,3,1"
230,base,"3,2,3"
231,base,"1,3,2"
232,base,
233,base,"2,4,3"
234,base,"1,3,5"
235,base,
236,base,
237,base,
238,base,"3,1,4"
239,base,"1,2,3"
240,base,
241,base,"4,2,6"
242,base,"1,5,3"
243,base,"4,2,5"
244,base,"1,2,3"
245,base,
246,base,"1,2,3"
247,base,
248,base,"2,4,4"
249,base,"3,1"
250,base,"1,2,3"
251,base,
252,base,
253,base,
254,base,"1,2,3"
255,base,
256,base,"3,6,4"
257,base,
258,base,"1,4,3"
259,base,"4,5,5"
260,base,"1,3,4"
261,base,"1,2,3"
262,base,"1,2,6"
263,base,"4,6"
264,base,"5,3,1"
265,base,
266,base,
267,base,"1,2,3"
268,base,"3,3,4"
269,base,
270,base,"5,2,6"
271,base,"1,6,1"
272,base,
273,base,
274,base,"1,3,4"
275,base,"1,2,3"
276,base,
277,base,"3,1,6"
278,base,"3,1,6"
279,base,
280,base,"3,4,5"
281,base,
282,base,
283,base,
284,base,"2,4"
285,base,
286,base,"3,4,5"
287,base,
288,base,"1,2,3"
289,base,"4,2,3"
290,base,"1,3"
291,base,"1,2,3"
292,base,
293,base,
294,base,
295,base,
296,base,
297,base,
298,base,"1,2,5"
299,base,"2,4,5"
300,base,"3,4,5"
301,base,"1,2,3"
302,base,
303,base,"1,2,3"
304,base,
305,base,"1,3,6"
306,base,"1,2,3"
307,base,
308,base,
309,base,"1,4,2"
310,base,"1,2,3"
311,base,
312,base,"2,4,6"
313,base,"5,2"
314,base,
315,base,
316,base,
317,base,"1,1"
318,base,
319,base,"3,3"
320,base,"1,2,3"
321,base,
322,base,
323,base,
324,base,
325,base,
326,base,
327,base,"2,4,4"
328,base,
329,base,
330,base,
331,base,"1,1,6"
332,base,
333,base,"1,2"
334,base,
335,base,
336,base,"3,1,2"
337,base,
338,base,"1,2,3"
339,base,
340,base,"1,2,3"
341,base,"1,6,1"
342,base,
343,base,
344,base,"1,2,5"
345,base,
346,base,
347,base,
348,base,"3,6,1"
349,base,3
350,base,"1,2,4"
351,base,"1,2,3"
352,base,"3,1,6"
353,base,"1,5,2"
354,base,
355,base,3
356,base,
357,base,
358,base,
359,base,
360,base,"2,2,2"
361,base,"2,1,3"
362,base,"6,1,2"
363,base,"2,5,2"
364,base,"2,6,4"
365,base,"3,2"
366,base,
367,base,"5,3,1"
368,base,
369,base,
370,base,"3,6,1"
371,base,"3,1"
372,base,3
373,base,"1,2,3"
374,base,
375,base,
376,base,
377,base,"3,3,4"
378,base,"1,4,6"
379,base,
380,base,
381,base,
382,base,"1,6,2"
383,base,
384,base,
385,base,
386,base,"2,2,5"
387,base,
388,base,"1,1"
389,base,
390,base,
391,base,"1,3,5"
392,base,"1,1,2"
393,base,"3,2,5"
394,base,
395,base,
396,base,"1,5,2"
397,base,"5,4,6"
398,base,"1,2,3"
399,base,
400,base,"1,5,5"
401,base,
402,base,
403,base,"1,4,6"
404,base,
405,base,
406,base,"3,1,6"
407,base,
408,base,"2,4,3"
409,base,"1,5,2"
410,base,
411,base,
412,base,"1,2,3"
413,base,"1,2"
414,base,"1,1,1"
415,base,
416,base,"2,5,3"
417,base,"4,3"
418,base,
419,base,"1,2,4"
420,base,
421,base,
422,base,"1,2,3"
423,base,
424,base,
425,base,"3,4,5"
426,base,
427,base,"1,2,3"
428,base,"1,2,3"
429,base,
430,base,"1,3,6"
431,base,
432,base,"1,3,2"
433,base,
434,base,"3,3"
435,base,"3,3,3"
436,base,
437,base,3
438,base,"1,2,3"
439,base,"1,1,5"
440,base,"1,2,3"
441,base,"4,2,1"
442,base,"1,3,5"
443,base,
444,base,"3,5"
445,base,"3,3,3"
446,base,"1,4,5"
447,base,3
448,base,"1,6,3"
449,base,"3,1,6"
450,base,
451,base,
452,base,
453,base,"1,2,3"
454,base,"3,4,5"
455,base,"1,3,3"
456,base,
457,base,"1,2,3"
458,base,"1,2,3"
459,base,
460,base,1
461,base,1
462,base,
463,base,"1,2,3"
464,base,
465,base,"4,6,3"
466,base,
467,base,"4,4"
468,base,"3,3"
469,base,
470,base,
471,base,
472,base,
473,base,
474,base,
475,base,"1,5,6"
476,base,"1,1,1"
477,base,"2,4,2"
478,base,
479,base,
480,base,
481,base,"1,2,3"
482,base,
483,base,
484,base,"3,6"
485,base,1
486,base,"5,6,2"
487,base,
488,base,
489,base,"3,4,2"
490,base,
491,base,"3,1"
492,base,"1,2,3"
493,base,
494,base,"2,6,1"
495,base,"2,6,3"
496,base,"1,2,3"
497,base,"2,6,1"
498,base,
499,base,3
500,base,"4,2,1"
501,base,
502,base,"1,2,3"
503,base,"2,3"
504,base,"1,2,3"
505,base,
506,base,"1,4,3"
507,base,"5,2,3"
508,base,"1,2,3"
509,base,
510,base,"1,6,1"
511,base,"6,2,2"
512,base,"1,2,3"
513,base,
514,base,"1,2,3"
515,base,"1,6,3"
516,base,
517,base,
518,base,
519,base,
520,base,
521,base,3
522,base,"2,5,4"
523,base,
524,base,
525,base,
526,base,
527,base,"1,2,3"
528,base,
529,base,
530,base,"2,6,3"
531,base,"4,1,5"
532,base,
533,base,"1,5,3"
534,base,"2,4,1"
535,base,"1,2,3"
536,base,"1,2,3"
537,base,"3,1,5"
538,base,"1,6"
539,base,"1,6,3"
540,base,3
541,base,"1,5,4"
542,base,
543,base,"1,1"
544,base,"1,2,3"
545,base,"2,1,5"
546,base,"2,4,1"
547,base,
548,base,"1,1,1"
549,base,
550,base,"3,4,3"
551,base,"3,6,1"
552,base,"1,1,6"
553,base,
554,base,
555,base,
556,base,
557,base,
558,base,
559,base,"1,2,3"
560,base,3
561,base,"1,2,3"
562,base,"2,4"
563,base,
564,base,"4,2"
565,base,"2,3,4"
566,base,
567,base,
568,base,"1,1,1"
569,base,
570,base,
571,base,"1,3,1"
572,base,"1,2,3"
573,base,
574,base,
575,base,
576,base,
577,base,
578,base,
579,base,"1,1,2"
580,base,"3,6,1"
581,base,"1,2,3"
582,base,"6,2,4"
583,base,
584,base,
585,base,
586,base,
587,base,
588,base,"2,3,5"
589,base,"3,1,4"
590,base,"3,1"
591,base,
592,base,
593,base,"2,5,4"
594,base,
595,base,
596,base,
597,base,"6,3"
598,base,"1,2,3"
599,base,"1,6"
600,base,
601,base,
602,base,"2,3,4"
603,base,
604,base,"1,6,2"
605,base,"4,4,4"
606,base,
607,base,
608,base,"5,3,6"
609,base,
610,base,
611,base,3
612,base,
613,base,
614,base,
615,base,"1,6"
616,base,
617,base,
618,base,"1,2,3"
619,base,"1,2,5"
620,base,"3,1,6"
621,base,
622,base,"1,2,3"
623,base,"1,3,6"
624,base,"5,4,3"
625,base,"5,4,2"
626,base,"3,6,1"
627,base,"3,5,5"
628,base,"5,6,1"
629,base,"1,6,1"
630,base,
631,base,"1,3,4"
632,base,
633,base,
634,base,
635,base,
636,base,"1,3,4"
637,base,
638,base,
639,base,
640,base,
641,base,"3,1,6"
642,base,"1,2,4"
643,base,"1,2,3"
644,base,"1,2,3"
645,base,
646,base,
647,base,"1,2,3"
648,base,
649,base,"1,2,3"
650,base,
651,base,
652,base,"1,2,3"
653,base,
654,base,"1,2,3"
655,base,
656,base,"1,1,1"
657,base,"3,6,5"
658,base,
659,base,
660,base,"3,1,6"
661,base,"6,3,2"
662,base,"6,3,5"
663,base,
664,base,
665,base,"1,2,3"
666,base,"1,2,3"
667,base,"6,4,5"
668,base,"2,5,6"
669,base,"1,2,3"
670,base,"1,2,2"
671,base,"3,5"
