Run,Model Type,Extracted Numbers
1,base,"Red,Blue,Green"
2,base,"Red,Blue,Green"
3,base,
4,base,
5,base,"Red,Blue,Green"
6,base,"Red,Blue,Green"
7,base,"Red,Blue,Green"
8,base,Green
9,base,
10,base,"Red,Blue,Green"
11,base,
12,base,
13,base,"Red,Blue,Green"
14,base,
15,base,
16,base,
17,base,
18,base,
19,base,
20,base,
21,base,"Red,Blue,Yellow"
22,base,"Red,Blue,Green"
23,base,
24,base,
25,base,
26,base,
27,base,
28,base,
29,base,
30,base,
31,base,
32,base,"Blue,Red,Yellow"
33,base,
34,base,"Red,Blue,Green"
35,base,
36,base,
37,base,"Red,Green,Blue"
38,base,
39,base,
40,base,
41,base,
42,base,
43,base,
44,base,
45,base,
46,base,
47,base,"Orange,Green,Blue"
48,base,
49,base,
50,base,
51,base,"Red,Blue,Green"
52,base,
53,base,
54,base,
55,base,
56,base,
57,base,
58,base,
59,base,Blue
60,base,
61,base,"Green,Blue,Red"
62,base,
63,base,
64,base,
65,base,
66,base,
67,base,"Red,Blue,Green"
68,base,"Red,Blue,Green"
69,base,
70,base,
71,base,
72,base,
73,base,
74,base,
75,base,
76,base,
77,base,
78,base,"Red,Blue,Green"
79,base,
80,base,
81,base,"Red,Green"
82,base,
83,base,"Red,Blue,Green"
84,base,
85,base,"Red,Blue,Green"
86,base,
87,base,
88,base,"Red,Green,Orange"
89,base,
90,base,
91,base,
92,base,
93,base,
94,base,
95,base,"Blue,Red,Purple"
96,base,
97,base,"Red,Blue,Yellow"
98,base,
99,base,
100,base,
101,base,
102,base,
103,base,
104,base,"Green,Orange,Purple"
105,base,
106,base,
107,base,
108,base,"Green,Blue,Red"
109,base,
110,base,
111,base,"Blue,Red,Yellow"
112,base,
113,base,
114,base,
115,base,
116,base,"Red,Blue,Red"
117,base,
118,base,
119,base,
120,base,
121,base,
122,base,
123,base,
124,base,
125,base,"Blue,Orange,Yellow"
126,base,"Red,Blue,Yellow"
127,base,"Red,Blue,Purple"
128,base,Green
129,base,
130,base,"Purple,Yellow,Red"
131,base,
132,base,
133,base,
134,base,
135,base,
136,base,"Green,Yellow,Orange"
137,base,"Red,Blue,Green"
138,base,
139,base,
140,base,
141,base,
142,base,
143,base,
144,base,"Red,Blue,Green"
145,base,
146,base,
147,base,
148,base,"Red,Blue,Green"
149,base,
150,base,
151,base,
152,base,
153,base,Red
154,base,
155,base,
156,base,
157,base,
158,base,
159,base,
160,base,
161,base,
162,base,
163,base,
164,base,
165,base,
166,base,"Red,Blue,Green"
167,base,"Blue,Green,Yellow"
168,base,
169,base,
170,base,"Green,Blue,Red"
171,base,
172,base,
173,base,"Red,Blue,Green"
174,base,
175,base,
176,base,
177,base,"Yellow,Blue,Red"
178,base,
179,base,
180,base,
181,base,
182,base,"Blue,Red,Yellow"
183,base,"Red,Blue,Green"
184,base,
185,base,"Orange,Red,Yellow"
186,base,"Blue,Green,Red"
187,base,
188,base,
189,base,"Red,Yellow,Blue"
190,base,
191,base,
192,base,"Red,Yellow,Orange"
193,base,
194,base,
195,base,"Blue,Red,Red"
196,base,
197,base,
198,base,
199,base,"Red,Blue,Green"
200,base,
201,base,
202,base,
203,base,
204,base,
205,base,
206,base,
207,base,
208,base,"Red,Blue,Yellow"
209,base,
210,base,
211,base,
212,base,
213,base,
214,base,
215,base,
216,base,
217,base,"Red,Blue,Green"
218,base,
219,base,
220,base,"Red,Blue"
221,base,
222,base,
223,base,
224,base,"Green,Orange,Purple"
225,base,
226,base,
227,base,
228,base,
229,base,
230,base,
231,base,"Green,Red,Blue"
232,base,
233,base,
234,base,
235,base,"Red,Blue,Yellow"
236,base,
237,base,
238,base,"Red,Blue,Green"
239,base,
240,base,"Red,Blue,Green"
241,base,"Red,Blue,Yellow"
242,base,
243,base,Yellow
244,base,
245,base,
246,base,
247,base,
248,base,
249,base,
250,base,
251,base,
252,base,
253,base,
254,base,
255,base,"Red,Blue,Green"
256,base,"Red,Blue"
257,base,
258,base,
259,base,"Red,Green,Blue"
260,base,"Red,Yellow"
261,base,
262,base,
263,base,"Red,Blue,Green"
264,base,
265,base,
266,base,"Red,Yellow,Green"
267,base,
268,base,
269,base,
270,base,
271,base,
272,base,"Green,Yellow,Orange"
273,base,
274,base,
275,base,
276,base,
277,base,
278,base,"Green,Yellow,Orange"
279,base,
280,base,
281,base,
282,base,
283,base,
284,base,
285,base,
286,base,
287,base,
288,base,"Red,Blue"
289,base,
290,base,
291,base,"Red,Blue,Green"
292,base,
293,base,
294,base,"Red,Green,Blue"
295,base,
296,base,
297,base,"Red,Blue,Green"
298,base,
299,base,"Red,Green,Blue"
300,base,
301,base,
302,base,"Red,Blue,Green"
303,base,
304,base,
305,base,"Red,Orange,Blue"
306,base,
307,base,
308,base,"Red,Blue,Orange"
309,base,
310,base,
311,base,
312,base,
313,base,
314,base,
315,base,
316,base,
317,base,
318,base,
319,base,
320,base,"Red,Blue,Green"
321,base,"Red,Blue,Yellow"
322,base,
323,base,
324,base,
325,base,
326,base,"Red,Blue,Green"
327,base,
328,base,
329,base,
330,base,
331,base,
332,base,
333,base,
334,base,
335,base,
336,base,
337,base,
338,base,"Red,Blue,Green"
339,base,
340,base,"Red,Blue,Green"
341,base,
342,base,"Red,Blue,Green"
343,base,
344,base,
345,base,
346,base,
347,base,"Red,Blue,Green"
348,base,
349,base,"Red,Orange,Purple"
350,base,
351,base,
352,base,
353,base,
354,base,
355,base,
356,base,
357,base,
358,base,
359,base,
360,base,
361,base,
362,base,
363,base,"Red,Blue,Green"
364,base,"Green,Yellow,Red"
365,base,"Red,Blue,Green"
366,base,
367,base,
368,base,
369,base,
370,base,
371,base,
372,base,
373,base,
374,base,
375,base,"Blue,Green,Purple"
376,base,
377,base,"Red,Yellow,Blue"
378,base,
379,base,"Red,Blue,Green"
380,base,
381,base,
382,base,
383,base,"Red,Blue,Green"
384,base,
385,base,
386,base,
387,base,
388,base,"Red,Blue,Green"
389,base,
390,base,
391,base,
392,base,
393,base,Blue
394,base,
395,base,"Red,Blue,Orange"
396,base,
397,base,Green
398,base,
399,base,"Red,Blue,Green"
400,base,"Blue,Orange,Green"
401,base,"Red,Blue,Green"
402,base,
403,base,
404,base,
405,base,"Red,Blue,Green"
406,base,
407,base,
408,base,
409,base,"Red,Blue,Green"
410,base,
411,base,
412,base,
413,base,
414,base,
415,base,
416,base,"Red,Yellow,Blue"
417,base,
418,base,
419,base,"Red,Blue,Green"
420,base,
421,base,
422,base,
423,base,
424,base,
425,base,
426,base,
427,base,
428,base,
429,base,
430,base,
431,base,
432,base,
433,base,"Red,Blue"
434,base,
435,base,
436,base,
437,base,
438,base,
439,base,
440,base,
441,base,
442,base,
443,base,
444,base,
445,base,
446,base,
447,base,
448,base,
449,base,
450,base,
451,base,
452,base,
453,base,
454,base,"Red,Green,Purple"
455,base,
456,base,
457,base,
458,base,
459,base,
460,base,
461,base,
462,base,
463,base,"Red,Blue,Purple"
464,base,
465,base,
466,base,
467,base,
468,base,
469,base,
470,base,
471,base,
472,base,
473,base,
474,base,
475,base,
476,base,
477,base,"Red,Orange,Purple"
478,base,
479,base,
480,base,
481,base,"Red,Blue,Green"
482,base,
483,base,
484,base,
485,base,
486,base,"Red,Orange,Blue"
487,base,
488,base,
489,base,"Red,Blue,Green"
490,base,
491,base,"Red,Orange,Blue"
492,base,
493,base,
494,base,
495,base,"Red,Blue,Green"
496,base,
497,base,
498,base,
499,base,"Red,Green,Blue"
500,base,
501,base,
502,base,
503,base,
504,base,
505,base,
506,base,"Red,Blue,Green"
507,base,
508,base,"Red,Green,Green"
509,base,"Blue,Yellow,Red"
510,base,
511,base,
512,base,
513,base,
514,base,
515,base,
516,base,
517,base,
518,base,"Red,Green,Green"
519,base,"Red,Blue,Green"
520,base,
521,base,"Red,Blue,Green"
522,base,
523,base,
524,base,
525,base,
526,base,"Red,Green,Blue"
527,base,
528,base,"Red,Blue,Green"
529,base,
530,base,Blue
531,base,"Red,Blue,Green"
532,base,
533,base,
534,base,
535,base,"Red,Blue,Green"
536,base,
537,base,
538,base,
539,base,
540,base,
541,base,
542,base,"Red,Blue,Green"
543,base,
544,base,"Blue,Purple,Blue"
545,base,
546,base,"Red,Blue,Green"
547,base,
548,base,
549,base,
550,base,
551,base,
552,base,"Red,Green,Purple"
553,base,
554,base,
555,base,
556,base,
557,base,
558,base,
559,base,
560,base,"Red,Blue,Green"
561,base,"Yellow,Red,Blue"
562,base,"Red,Green,Yellow"
563,base,
564,base,
565,base,
566,base,"Red,Blue,Orange"
567,base,
568,base,
569,base,"Red,Green,Yellow"
570,base,
571,base,
572,base,"Red,Blue,Green"
573,base,
574,base,
575,base,"Red,Yellow,Purple"
576,base,
577,base,
578,base,
579,base,
580,base,
581,base,
582,base,
583,base,
584,base,
585,base,
586,base,"Red,Red"
587,base,"Red,Blue,Yellow"
588,base,Orange
589,base,
590,base,
591,base,
592,base,"Red,Blue,Green"
593,base,"Red,Orange,Green"
594,base,
595,base,
596,base,
597,base,
598,base,"Red,Blue,Purple"
599,base,
600,base,
601,base,"Red,Blue,Green"
602,base,
603,base,
604,base,
605,base,
606,base,
607,base,
608,base,
609,base,
610,base,"Red,Blue,Blue"
611,base,"Red,Blue,Green"
612,base,"Red,Green,Yellow"
613,base,"Red,Blue,Green"
614,base,
615,base,
616,base,"Blue,Red,Yellow"
617,base,
618,base,
619,base,
620,base,
621,base,Blue
622,base,
623,base,"Red,Green,Orange"
624,base,
625,base,
626,base,
627,base,
628,base,
629,base,"Red,Orange,Yellow"
630,base,"Red,Blue,Green"
631,base,
632,base,
633,base,
634,base,
635,base,
636,base,
637,base,
638,base,
639,base,"Red,Green,Blue"
640,base,
641,base,
642,base,
643,base,
644,base,
645,base,
646,base,"Red,Blue,Green"
647,base,
648,base,
649,base,
650,base,
651,base,"Red,Blue,Green"
652,base,
653,base,
654,base,
655,base,
656,base,
657,base,
658,base,
659,base,
660,base,
661,base,Yellow
662,base,
663,base,
664,base,
665,base,"Red,Blue"
666,base,
667,base,
668,base,
669,base,
670,base,"Red,Orange,Blue"
671,base,
672,base,
673,base,"Red,Green,Purple"
674,base,
675,base,
676,base,
677,base,"Green,Red,Purple"
678,base,
679,base,
680,base,
681,base,
682,base,"Red,Blue,Green"
683,base,
684,base,
685,base,"Red,Blue,Yellow"
686,base,
687,base,
688,base,
689,base,
690,base,"Red,Blue,Green"
691,base,
692,base,"Red,Blue,Green"
693,base,
694,base,
695,base,
696,base,
697,base,
698,base,
699,base,
700,base,
701,base,
702,base,Red
703,base,"Orange,Green,Green"
704,base,"Red,Blue,Purple"
705,base,
706,base,
707,base,
708,base,
709,base,
710,base,"Red,Blue,Green"
711,base,
712,base,
713,base,Blue
714,base,
715,base,
716,base,
717,base,"Red,Green,Blue"
718,base,"Green,Orange,Yellow"
719,base,"Orange,Blue,Green"
720,base,
721,base,
722,base,"Red,Blue,Green"
723,base,
724,base,
725,base,
726,base,"Red,Green,Purple"
727,base,"Red,Blue,Green"
728,base,
729,base,
730,base,Red
731,base,
732,base,
733,base,"Red,Blue,Green"
734,base,
735,base,
736,base,
737,base,"Red,Blue,Orange"
738,base,
739,base,"Red,Blue,Green"
740,base,
741,base,
742,base,Blue
743,base,
744,base,
745,base,
746,base,
747,base,
748,base,"Red,Blue,Green"
749,base,"Red,Blue,Green"
750,base,
751,base,
752,base,"Orange,Yellow,Blue"
753,base,Blue
754,base,
755,base,
756,base,
757,base,
758,base,
759,base,
760,base,"Red,Blue,Yellow"
761,base,
762,base,
763,base,"Red,Blue,Green"
764,base,
765,base,
766,base,
767,base,
768,base,
769,base,"Red,Blue,Green"
770,base,"Red,Blue,Green"
771,base,
772,base,
773,base,
774,base,
775,base,
776,base,
777,base,"Green,Yellow,Orange"
778,base,"Red,Blue,Green"
779,base,"Red,Blue,Green"
780,base,
781,base,
782,base,
783,base,
784,base,
785,base,
786,base,"Red,Blue,Orange"
787,base,
788,base,"Red,Blue,Green"
789,base,"Red,Orange,Green"
790,base,"Blue,Green"
791,base,
792,base,
793,base,
794,base,
795,base,"Orange,Red,Red"
796,base,
797,base,
798,base,"Blue,Red,Red"
799,base,
800,base,
801,base,
802,base,"Red,Blue,Green"
803,base,
804,base,
805,base,
806,base,
807,base,
808,base,
809,base,
810,base,"Red,Blue,Green"
811,base,"Red,Blue,Green"
812,base,
813,base,
814,base,
815,base,
816,base,
817,base,
818,base,
819,base,
820,base,"Red,Blue,Green"
821,base,"Red,Blue,Green"
822,base,
823,base,
824,base,
825,base,
826,base,
827,base,"Blue,Red"
828,base,
829,base,"Red,Green,Blue"
830,base,
831,base,
832,base,
833,base,
834,base,
835,base,
836,base,
837,base,
838,base,
839,base,"Red,Green,Yellow"
840,base,
841,base,"Blue,Red,Green"
842,base,"Orange,Purple,Red"
843,base,"Red,Blue,Green"
844,base,
845,base,
846,base,"Red,Blue,Green"
847,base,
848,base,
849,base,"Red,Yellow,Orange"
850,base,
851,base,
852,base,
853,base,Red
854,base,
855,base,
856,base,
857,base,"Green,Red,Blue"
858,base,
859,base,"Blue,Orange,Yellow"
860,base,
861,base,
862,base,"Red,Green,Purple"
863,base,
864,base,
865,base,
866,base,
867,base,
868,base,
869,base,
870,base,
871,base,
872,base,
873,base,
874,base,
875,base,
876,base,
877,base,"Red,Yellow,Purple"
878,base,
879,base,
880,base,
881,base,
882,base,
883,base,"Red,Green,Blue"
884,base,
885,base,"Red,Blue,Green"
886,base,
887,base,
888,base,
889,base,
890,base,"Blue,Yellow,Green"
891,base,"Red,Blue,Yellow"
892,base,
893,base,
894,base,
895,base,
896,base,
897,base,"Red,Blue,Green"
898,base,
899,base,
900,base,
901,base,
902,base,
903,base,
904,base,"Red,Blue,Green"
905,base,
906,base,
907,base,
908,base,
909,base,
910,base,
911,base,
912,base,
913,base,
914,base,
915,base,
916,base,"Red,Green,Blue"
917,base,"Red,Blue,Green"
918,base,
919,base,
920,base,"Red,Green,Blue"
921,base,
922,base,
923,base,"Blue,Green,Red"
924,base,"Red,Red,Blue"
925,base,"Red,Blue,Green"
926,base,"Red,Blue,Green"
927,base,
928,base,
929,base,
930,base,
931,base,
932,base,
933,base,
934,base,
935,base,
936,base,
937,base,
938,base,
939,base,
940,base,
941,base,
942,base,
943,base,
944,base,
945,base,
946,base,
947,base,
948,base,"Orange,Purple,Red"
949,base,"Red,Green,Blue"
950,base,
951,base,
952,base,
953,base,
954,base,
955,base,"Red,Blue,Green"
956,base,
957,base,
958,base,"Blue,Red,Green"
959,base,
960,base,
961,base,"Red,Blue,Green"
962,base,
963,base,
964,base,
965,base,
966,base,
967,base,
968,base,
969,base,
970,base,"Red,Blue,Green"
971,base,
972,base,
973,base,"Red,Blue,Green"
974,base,
975,base,
976,base,
977,base,
978,base,
979,base,"Red,Blue,Green"
980,base,
981,base,
982,base,"Red,Blue,Yellow"
983,base,
984,base,
985,base,
986,base,"Red,Blue,Green"
987,base,
988,base,
989,base,
990,base,"Red,Blue,Green"
991,base,
992,base,
993,base,"Red,Yellow,Purple"
994,base,"Yellow,Orange,Purple"
995,base,
996,base,"Red,Blue"
997,base,
998,base,
999,base,
1000,base,
1001,base,
1002,base,
1003,base,
1004,base,
1005,base,
1006,base,
1007,base,
1008,base,"Red,Yellow,Purple"
1009,base,"Green,Yellow,Purple"
1010,base,
1011,base,
1012,base,
1013,base,"Red,Green,Yellow"
1014,base,
1015,base,
1016,base,
1017,base,
1018,base,"Red,Blue,Yellow"
1019,base,
1020,base,
1021,base,
1022,base,
1023,base,
1024,base,
1025,base,"Red,Blue,Yellow"
1026,base,
1027,base,
1028,base,
1029,base,
1030,base,
1031,base,"Red,Blue,Green"
1032,base,
1033,base,
1034,base,"Blue,Orange,Green"
1035,base,
1036,base,"Red,Red,Red"
1037,base,"Red,Blue,Green"
1038,base,
1039,base,
1040,base,
1041,base,
1042,base,"Red,Blue,Green"
1043,base,
1044,base,"Red,Blue,Green"
1045,base,
1046,base,
1047,base,
1048,base,
1049,base,"Red,Blue,Yellow"
1050,base,
1051,base,
1052,base,
1053,base,"Green,Red,Blue"
1054,base,Red
1055,base,
1056,base,
1057,base,
1058,base,
1059,base,"Blue,Red,Purple"
1060,base,"Blue,Green"
1061,base,
1062,base,
1063,base,
1064,base,
1065,base,
1066,base,
1067,base,
1068,base,
1069,base,
1070,base,
1071,base,"Yellow,Orange,Purple"
1072,base,
1073,base,
1074,base,
1075,base,
1076,base,
1077,base,
1078,base,"Blue,Yellow,Red"
1079,base,
1080,base,
1081,base,"Blue,Red,Red"
1082,base,
1083,base,
1084,base,
1085,base,
1086,base,"Green,Yellow,Red"
1087,base,"Red,Blue,Yellow"
1088,base,
1089,base,
1090,base,
1091,base,
1092,base,
1093,base,"Red,Blue,Green"
1094,base,"Blue,Green,Orange"
1095,base,
1096,base,
1097,base,"Red,Blue,Purple"
1098,base,
1099,base,
1100,base,"Red,Blue,Green"
1101,base,"Red,Blue,Orange"
1102,base,
1103,base,"Blue,Green,Yellow"
1104,base,
1105,base,
1106,base,
1107,base,
1108,base,
1109,base,
1110,base,
1111,base,"Red,Blue,Green"
1112,base,
1113,base,Red
1114,base,"Red,Yellow,Purple"
1115,base,
1116,base,"Blue,Yellow,Purple"
1117,base,
1118,base,
1119,base,"Red,Blue,Blue"
1120,base,
1121,base,
1122,base,"Red,Green,Blue"
1123,base,
1124,base,
1125,base,
1126,base,
1127,base,
1128,base,
1129,base,
1130,base,
1131,base,
1132,base,
1133,base,
1134,base,
1135,base,
1136,base,
1137,base,
1138,base,
1139,base,
1140,base,
1141,base,"Blue,Green,Blue"
1142,base,
1143,base,"Red,Blue,Green"
1144,base,"Red,Blue,Green"
1145,base,
1146,base,
1147,base,
1148,base,
1149,base,"Blue,Green,Red"
1150,base,"Red,Blue,Green"
1151,base,
1152,base,
1153,base,"Red,Blue,Yellow"
1154,base,
1155,base,
1156,base,
1157,base,
1158,base,
1159,base,
1160,base,Red
1161,base,
1162,base,"Red,Blue,Green"
1163,base,
1164,base,
1165,base,"Red,Blue"
1166,base,
1167,base,
1168,base,"Blue,Green,Yellow"
1169,base,Blue
1170,base,
1171,base,
1172,base,
1173,base,
1174,base,
1175,base,
1176,base,"Red,Blue,Green"
1177,base,
1178,base,
1179,base,"Red,Blue,Green"
1180,base,
1181,base,
1182,base,
1183,base,
1184,base,"Red,Blue,Green"
1185,base,"Red,Blue"
1186,base,
1187,base,"Red,Orange,Purple"
1188,base,
1189,base,"Red,Blue,Green"
1190,base,"Red,Blue,Red"
1191,base,"Red,Blue,Green"
1192,base,
1193,base,
1194,base,
1195,base,
1196,base,"Red,Blue,Orange"
1197,base,
1198,base,
1199,base,
1200,base,"Red,Blue,Green"
1201,base,
1202,base,"Red,Blue,Green"
1203,base,
1204,base,
1205,base,Red
1206,base,
1207,base,
1208,base,
1209,base,"Red,Blue,Green"
1210,base,"Red,Green,Yellow"
1211,base,
1212,base,
1213,base,
1214,base,
1215,base,
1216,base,
1217,base,
1218,base,
1219,base,
1220,base,
1221,base,"Red,Orange,Green"
1222,base,
1223,base,"Red,Green,Orange"
1224,base,
1225,base,
1226,base,
1227,base,
1228,base,
1229,base,
1230,base,"Red,Blue,Green"
1231,base,
1232,base,
1233,base,
1234,base,
1235,base,
1236,base,
1237,base,
1238,base,
1239,base,
1240,base,
1241,base,
1242,base,
1243,base,
1244,base,
1245,base,
1246,base,
1247,base,"Red,Blue,Yellow"
1248,base,
1249,base,
1250,base,
1251,base,"Red,Green,Blue"
1252,base,"Red,Blue,Yellow"
1253,base,"Red,Blue,Green"
1254,base,
1255,base,
1256,base,
1257,base,
1258,base,
1259,base,
1260,base,
1261,base,
1262,base,
1263,base,
1264,base,
1265,base,
1266,base,Purple
1267,base,
1268,base,"Blue,Blue"
1269,base,
1270,base,
1271,base,
1272,base,
1273,base,
1274,base,
1275,base,
1276,base,
1277,base,"Red,Green,Blue"
1278,base,
1279,base,"Red,Blue,Green"
1280,base,
1281,base,"Red,Blue"
1282,base,
1283,base,
