Run,Model Type,Extracted Numbers
1,fine-tuned,
2,fine-tuned,"3,1,3"
3,fine-tuned,"3,4,5"
4,fine-tuned,"5,5,5"
5,fine-tuned,"1,4,2"
6,fine-tuned,"3,5,3"
7,fine-tuned,
8,fine-tuned,
9,fine-tuned,"6,6,6"
10,fine-tuned,"1,2,5"
11,fine-tuned,
12,fine-tuned,"3,5,5"
13,fine-tuned,"2,1,6"
14,fine-tuned,"1,4,6"
15,fine-tuned,"5,1,1"
16,fine-tuned,
17,fine-tuned,"5,2,2"
18,fine-tuned,
19,fine-tuned,
20,fine-tuned,"5,1,5"
21,fine-tuned,
22,fine-tuned,"3,6,6"
23,fine-tuned,
24,fine-tuned,"6,2,2"
25,fine-tuned,"4,2,3"
26,fine-tuned,"5,6,3"
27,fine-tuned,
28,fine-tuned,"3,4,1"
29,fine-tuned,"1,1,4"
30,fine-tuned,
31,fine-tuned,"3,3,2"
32,fine-tuned,"3,6"
33,fine-tuned,4
34,fine-tuned,"1,2,4"
35,fine-tuned,"4,4,4"
36,fine-tuned,"3,6,1"
37,fine-tuned,"3,4,2"
38,fine-tuned,
39,fine-tuned,"1,2,3"
40,fine-tuned,
41,fine-tuned,"3,3,6"
42,fine-tuned,"5,1,1"
43,fine-tuned,
44,fine-tuned,"1,2,3"
45,fine-tuned,"2,5,1"
46,fine-tuned,"2,2,3"
47,fine-tuned,
48,fine-tuned,1
49,fine-tuned,"1,2,4"
50,fine-tuned,"6,1,5"
51,fine-tuned,"3,1,2"
52,fine-tuned,"3,3"
53,fine-tuned,2
54,fine-tuned,
55,fine-tuned,"1,1,5"
56,fine-tuned,"6,1,2"
57,fine-tuned,5
58,fine-tuned,
59,fine-tuned,"3,5,6"
60,fine-tuned,"1,3,2"
61,fine-tuned,"5,4,3"
62,fine-tuned,
63,fine-tuned,"1,2,3"
64,fine-tuned,"2,6,4"
65,fine-tuned,"3,3,3"
66,fine-tuned,"5,2,2"
67,fine-tuned,2
68,fine-tuned,"3,4,5"
