Run,Model Type,Extracted Numbers
1,fine-tuned,
2,fine-tuned,"Red,Blue,Green"
3,fine-tuned,
4,fine-tuned,
5,fine-tuned,"Green,Yellow,Blue"
6,fine-tuned,Red
7,fine-tuned,
8,fine-tuned,
9,fine-tuned,
10,fine-tuned,"Red,Orange,Orange"
11,fine-tuned,
12,fine-tuned,
13,fine-tuned,
14,fine-tuned,"Red,Blue,Red"
15,fine-tuned,
16,fine-tuned,
17,fine-tuned,
18,fine-tuned,"Red,Green"
19,fine-tuned,
20,fine-tuned,"Red,Yellow,Orange"
21,fine-tuned,
22,fine-tuned,Blue
23,fine-tuned,
24,fine-tuned,
25,fine-tuned,
26,fine-tuned,
27,fine-tuned,Red
28,fine-tuned,
29,fine-tuned,"Orange,Yellow,Purple"
30,fine-tuned,"Orange,Green,Green"
31,fine-tuned,
32,fine-tuned,
33,fine-tuned,"Red,Red,Red"
34,fine-tuned,
35,fine-tuned,
36,fine-tuned,
37,fine-tuned,Red
38,fine-tuned,"Red,Blue,Green"
39,fine-tuned,Purple
40,fine-tuned,"Red,Blue,Red"
41,fine-tuned,
42,fine-tuned,
43,fine-tuned,
44,fine-tuned,"Red,Orange,Purple"
45,fine-tuned,
46,fine-tuned,
47,fine-tuned,"Blue,Red,Green"
48,fine-tuned,"Red,Green,Purple"
49,fine-tuned,
50,fine-tuned,
51,fine-tuned,"Red,Yellow,Purple"
52,fine-tuned,
53,fine-tuned,"Red,Green,Green"
54,fine-tuned,
55,fine-tuned,
56,fine-tuned,"Red,Blue,Green"
57,fine-tuned,
58,fine-tuned,
59,fine-tuned,
60,fine-tuned,
61,fine-tuned,
62,fine-tuned,"Red,Yellow,Green"
63,fine-tuned,"Red,Red,Yellow"
64,fine-tuned,
65,fine-tuned,"Red,Yellow"
66,fine-tuned,
67,fine-tuned,
68,fine-tuned,"Blue,Yellow,Orange"
69,fine-tuned,"Red,Yellow,Orange"
70,fine-tuned,"Red,Red,Blue"
71,fine-tuned,
72,fine-tuned,
73,fine-tuned,
74,fine-tuned,"Red,Blue,Green"
75,fine-tuned,"Red,Yellow,Green"
76,fine-tuned,
77,fine-tuned,
78,fine-tuned,
79,fine-tuned,
80,fine-tuned,
81,fine-tuned,
82,fine-tuned,
83,fine-tuned,"Orange,Yellow,Orange"
84,fine-tuned,"Orange,Red,Purple"
85,fine-tuned,
86,fine-tuned,
87,fine-tuned,"Blue,Yellow,Yellow"
88,fine-tuned,
89,fine-tuned,
90,fine-tuned,
91,fine-tuned,"Green,Blue,Purple"
92,fine-tuned,
93,fine-tuned,
94,fine-tuned,
95,fine-tuned,"Green,Green"
96,fine-tuned,"Red,Blue"
97,fine-tuned,
98,fine-tuned,
99,fine-tuned,
100,fine-tuned,
101,fine-tuned,"Red,Yellow,Orange"
102,fine-tuned,
103,fine-tuned,
104,fine-tuned,
105,fine-tuned,
106,fine-tuned,"Yellow,Red,Green"
107,fine-tuned,"Red,Blue,Green"
108,fine-tuned,
109,fine-tuned,
110,fine-tuned,
111,fine-tuned,
112,fine-tuned,
113,fine-tuned,Red
114,fine-tuned,"Red,Yellow,Red"
115,fine-tuned,"Yellow,Red,Green"
116,fine-tuned,"Blue,Red"
117,fine-tuned,"Red,Yellow,Orange"
118,fine-tuned,Blue
119,fine-tuned,
120,fine-tuned,"Red,Green,Yellow"
121,fine-tuned,
122,fine-tuned,
123,fine-tuned,
124,fine-tuned,"Blue,Green,Red"
125,fine-tuned,
126,fine-tuned,
127,fine-tuned,
128,fine-tuned,
129,fine-tuned,"Red,Yellow,Orange"
130,fine-tuned,
131,fine-tuned,
132,fine-tuned,"Red,Yellow,Purple"
133,fine-tuned,
134,fine-tuned,"Orange,Orange,Green"
135,fine-tuned,
136,fine-tuned,
137,fine-tuned,
138,fine-tuned,
139,fine-tuned,
140,fine-tuned,"Green,Purple"
141,fine-tuned,
142,fine-tuned,"Red,Blue,Green"
143,fine-tuned,
144,fine-tuned,"Blue,Green,Green"
145,fine-tuned,
146,fine-tuned,
147,fine-tuned,
148,fine-tuned,
149,fine-tuned,"Red,Blue,Green"
150,fine-tuned,
151,fine-tuned,
152,fine-tuned,"Orange,Blue,Purple"
153,fine-tuned,"Red,Orange,Yellow"
154,fine-tuned,
155,fine-tuned,"Red,Green,Orange"
156,fine-tuned,
157,fine-tuned,"Red,Green"
158,fine-tuned,
159,fine-tuned,"Red,Green,Orange"
160,fine-tuned,
161,fine-tuned,"Blue,Green,Red"
162,fine-tuned,
163,fine-tuned,
164,fine-tuned,"Green,Green"
165,fine-tuned,"Red,Blue,Blue"
166,fine-tuned,
167,fine-tuned,"Red,Green,Red"
168,fine-tuned,"Red,Blue"
169,fine-tuned,
170,fine-tuned,Red
171,fine-tuned,"Purple,Blue,Red"
172,fine-tuned,
173,fine-tuned,
174,fine-tuned,
175,fine-tuned,"Blue,Green,Yellow"
176,fine-tuned,
177,fine-tuned,
178,fine-tuned,"Red,Purple,Green"
179,fine-tuned,"Red,Orange,Blue"
180,fine-tuned,
181,fine-tuned,
182,fine-tuned,
183,fine-tuned,
184,fine-tuned,
185,fine-tuned,
186,fine-tuned,"Red,Green,Red"
187,fine-tuned,
188,fine-tuned,"Red,Orange,Yellow"
189,fine-tuned,"Red,Blue,Red"
190,fine-tuned,
191,fine-tuned,"Yellow,Orange,Red"
192,fine-tuned,
193,fine-tuned,
194,fine-tuned,
195,fine-tuned,
196,fine-tuned,
197,fine-tuned,"Red,Blue,Purple"
198,fine-tuned,
199,fine-tuned,
200,fine-tuned,"Blue,Red"
201,fine-tuned,"Orange,Red,Blue"
202,fine-tuned,
203,fine-tuned,
